KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KECAMATAN;@Sekat;@Grafik1;@Grafik2;U401_id;U402_id;U403_id;U404_id;U405_id;U406_id;U407_id;U408_id;U409_id;U410_id;U411_id;U412_id;U413_id;U401_en;U402_en;U403_en;U404_en;U405_en;U406_en;U407_en;U408_en;U409_en;U410_en;U411_en;U412_en;U413_en;T411K2B1;T411K2B2;T411K2B3;T411K2B4;T411K2B5;T411K2B6;T411K3B1;T411K3B2;T411K3B3;T411K3B4;T411K3B5;T411K3B6;T411K4B1;T411K4B2;T411K4B3;T411K4B4;T411K4B5;T411K4B6;T412K2B1;T412K3B1;T412K4B1;T412K5B1;T412K6B1;T412K7B1;T412K2B2;T412K3B2;T412K4B2;T412K5B2;T412K6B2;T412K7B2;T412K2B3;T412K3B3;T412K4B3;T412K5B3;T412K6B3;T412K7B3;T412K2B4;T412K3B4;T412K4B4;T412K5B4;T412K6B4;T412K7B4;T412K2B5;T412K3B5;T412K4B5;T412K5B5;T412K6B5;T412K7B5;T412K2B6;T412K3B6;T412K4B6;T412K5B6;T412K6B6;T412K7B6;T412K2B7;T412K3B7;T412K4B7;T412K5B7;T412K6B7;T412K7B7;T412K2B8;T412K3B8;T412K4B8;T412K5B8;T412K6B8;T412K7B8;T412K2B9;T412K3B9;T412K4B9;T412K5B9;T412K6B9;T412K7B9;T413K2B1;T413K3B1;T413K4B1;T413K5B1;T413K6B1;T413K7B1;T413K2B2;T413K3B2;T413K4B2;T413K5B2;T413K6B2;T413K7B2;T413K2B3;T413K3B3;T413K4B3;T413K5B3;T413K6B3;T413K7B3;T413K2B4;T413K3B4;T413K4B4;T413K5B4;T413K6B4;T413K7B4;T413K2B5;T413K3B5;T413K4B5;T413K5B5;T413K6B5;T413K7B5;T413K2B6;T413K3B6;T413K4B6;T413K5B6;T413K6B6;T413K7B6;T413K2B7;T413K3B7;T413K4B7;T413K5B7;T413K6B7;T413K7B7;T413K2B8;T413K3B8;T413K4B8;T413K5B8;T413K6B8;T413K7B8;T413K2B9;T413K3B9;T413K4B9;T413K5B9;T413K6B9;T413K7B9;T414K2B1;T414K3B1;T414K4B1;T414K5B1;T414K6B1;T414K7B1;T414K2B2;T414K3B2;T414K4B2;T414K5B2;T414K6B2;T414K7B2;T414K2B3;T414K3B3;T414K4B3;T414K5B3;T414K6B3;T414K7B3;T414K2B4;T414K3B4;T414K4B4;T414K5B4;T414K6B4;T414K7B4;T414K2B5;T414K3B5;T414K4B5;T414K5B5;T414K6B5;T414K7B5;T414K2B6;T414K3B6;T414K4B6;T414K5B6;T414K6B6;T414K7B6;T414K2B7;T414K3B7;T414K4B7;T414K5B7;T414K6B7;T414K7B7;T414K2B8;T414K3B8;T414K4B8;T414K5B8;T414K6B8;T414K7B8;T414K2B9;T414K3B9;T414K4B9;T414K5B9;T414K6B9;T414K7B9;T415K2B1;T415K3B1;T415K4B1;T415K5B1;T415K6B1;T415K7B1;T415K2B2;T415K3B2;T415K4B2;T415K5B2;T415K6B2;T415K7B2;T415K2B3;T415K3B3;T415K4B3;T415K5B3;T415K6B3;T415K7B3;T415K2B4;T415K3B4;T415K4B4;T415K5B4;T415K6B4;T415K7B4;T415K2B5;T415K3B5;T415K4B5;T415K5B5;T415K6B5;T415K7B5;T415K2B6;T415K3B6;T415K4B6;T415K5B6;T415K6B6;T415K7B6;T415K2B7;T415K3B7;T415K4B7;T415K5B7;T415K6B7;T415K7B7;T415K2B8;T415K3B8;T415K4B8;T415K5B8;T415K6B8;T415K7B8;T415K2B9;T415K3B9;T415K4B9;T415K5B9;T415K6B9;T415K7B9;T421K2B1;T421K2B2;T421K2B3;T421K2B4;T421K3B1;T421K3B2;T421K3B3;T421K3B4;T421K4B1;T421K4B2;T421K4B3;T421K4B4;T422K2B1;T422K2B2;T422K2B3;T422K2B4;T422K2B5;T422K2B6;T422K2B7;T422K2B8;T422K2B9;T422K2B10;T422K2B11;T422K2B12;T422K2B13;T422K2B14;T422K2B15;T422K2B16;T422K3B1;T422K3B2;T422K3B3;T422K3B4;T422K3B5;T422K3B6;T422K3B7;T422K3B8;T422K3B9;T422K3B10;T422K3B11;T422K3B12;T422K3B13;T422K3B14;T422K3B15;T422K3B16;T422K4B1;T422K4B2;T422K4B3;T422K4B4;T422K4B5;T422K4B6;T422K4B7;T422K4B8;T422K4B9;T422K4B10;T422K4B11;T422K4B12;T422K4B13;T422K4B14;T422K4B15;T422K4B16;T422K5B1;T422K5B2;T422K5B3;T422K5B4;T422K5B5;T422K5B6;T422K5B7;T422K5B8;T422K5B9;T422K5B10;T422K5B11;T422K5B12;T422K5B13;T422K5B14;T422K5B15;T422K5B16;T422K6B1;T422K6B2;T422K6B3;T422K6B4;T422K6B5;T422K6B6;T422K6B7;T422K6B8;T422K6B9;T422K6B10;T422K6B11;T422K6B12;T422K6B13;T422K6B14;T422K6B15;T422K6B16;T422K7B1;T422K7B2;T422K7B3;T422K7B4;T422K7B5;T422K7B6;T422K7B7;T422K7B8;T422K7B9;T422K7B10;T422K7B11;T422K7B12;T422K7B13;T422K7B14;T422K7B15;T422K7B16;T422K8B1;T422K8B2;T422K8B3;T422K8B4;T422K8B5;T422K8B6;T422K8B7;T422K8B8;T422K8B9;T422K8B10;T422K8B11;T422K8B12;T422K8B13;T422K8B14;T422K8B15;T422K8B16;T422K9B1;T422K9B2;T422K9B3;T422K9B4;T422K9B5;T422K9B6;T422K9B7;T422K9B8;T422K9B9;T422K9B10;T422K9B11;T422K9B12;T422K9B13;T422K9B14;T422K9B15;T422K9B16;T431K2B1;T431K2B2;T431K2B3;T431K3B1;T431K3B2;T431K3B3;T431K4B1;T431K4B2;T431K4B3;T432K4B1;T432K4B2;T432K4B3;T432K4B4;T432K4B5;T432K4B6;T432K4B7;T432K4B8;T432K4B9;T432K4B10;T432K4B11;T432K4B12;T441K2B1;T441K2B2;T441K2B3;T441K2B4;T441K2B5;T441K2B6;T441K2B7;T441K2B8;T441K2B9;T441K2B10;T441K2B11;T441K2B12;T442K2B1;T442K2B2;T442K2B3;T442K2B4;T442K2B5
10;Sumur;7;Desa;Village;Ujungjaya;Tamanjaya;Cigorondong;Tunggaljaya;Kertamukti;Kertajaya;Sumberjaya;;;;;;;;;SUMUR;D:\KCDA\2025\010\Bab4.PNG;D:\KCDA\2025\010\G041.png;D:\KCDA\2025\010\G042.png;Sampai saat ini, di Kecamatan Sumur sudah berdiri 10 jenis fasilitas sekolah, adapun untuk beberapa jenis fasilitas sekolah seperti,  belum tersedia. ;Dikelompokkan menjadi jenjang sekolah, ketersediaan fasilitas pendidikan sebagai berikut: fasilitas pendidikan pra sekolah sudah tersedia, fasilitas pendidikan dasar 9 tahun sudah tersedia, fasilitas pendidikan penyelenggara program wajib belajar 12 tahun sudah tersedia, , sementara untuk fasilitas pendidikan tinggi sudah tersedia;Ditinjau dari penyelenggara pendidikan selain perguruan tinggi untuk 9 jenis fasilitas pendidikan yang tersedia di Kecamatan Sumur, 3 jenis fasilitas diantaranya didominasi oleh peran penyelenggara pendidikan dari pemerintah, kecuali untuk jenjang pendidikan dan taman kanak-kanak. ;Rasio murid - guru tertinggi berasal dari jenjang sekolah menengah atas , yaitu mencapai 22, sementara terendah terjadi pada jenjang raudatul athfal dengan rasio hanya 0. Rasio tersebut menginformasikan bahwa pada sekolah menengah atas , secara rata-rata setiap guru diberi tugas untuk mengajar sekitar 22 orang siswa, sementara di jenjang raudatul athfal, seorang guru mendapat tugas mengampu 0 murid.;Selain itu, diperoleh informasi juga sebagai berikut: Rasio murid-guru turun pada taman kanak-kanak, sekolah dasar, madrasah ibtidaiyah, madrasah tsanawiyah,  dan madrasah aliyah.sebaliknya besaran tersebut meningkat pada sekolah menengah pertama , sekolah menengah atas . sementara itu, besaran tersebut tetap pada raudatul athfal,  dan sekolah menengah kejuruan.;Sampai tahun 2022,  baru  terdapat 2 fasilitas kesehatan, sementara 5 lainnya, yaitu: rumah sakit, rumah sakit bersalin, puskesmas rawat inap, puskesmas tanpa rawat inap, puskesmas pembantu (pustu) belum tersedia. Selain itu, belum semua fasilitas kesehatan tersebar merata di seluruh desa;Sumber air minum utama yang dikonsumsi oleh sebagaian besar masyarakat terdiri dari 3 jenis, yaitu air isi ulang, leding tanpa meteran, mata air,  dengan sumber air minum utama mata air. Sementara, untuk air kemasan bermerk, leding dengan meteran, sumur bor atau pompa,  dan sumur.  belum dimanfaatkan sebagai sumber air minum utama oleh sebagian besar penduduk di seluruh village,  Lebih lanjut, untuk sungai/danau/kolam/ waduk/situ/ embung/bendungan, air hujan, sumber air minum lainnya,  sudah tidak dimanfaatkan lagi sebagai sumber air minum oleh seluruh desa. ;Penggunaan listrik PLN sebagai sumber penerangan utama baru mencapai 0,80 persen, sedangkan selebihnya menggunakan penerangan yang bersumber dari listrik non PLN yaitu sebesar 0,20 persen;Penerangan jalan bersumber pada listrik pemerintah belum dimanfaatkan oleh seluruh desa. Adapun untuk sumber penerangan jalan lainnya, seperti listrik non pemerintah dan non listrik sudah tidak digunakan lagi di seluruh desa. ;Pembuangan akhir dengan jenis jamban sendiri belum digunakan oleh seluruh desa. Artinya, untuk jenis jamban bersama dan jamban umum sudah tidak digunakan lagi di seluruh desa. Sayang sekali, untuk jenis pembuangan akhir bukan jamban masih ditemui di sejumlah desa. ;Sebagian besar masyarakat di sejumlah desa menggunakan 2 jenis bahan bakar utama untuk memasak, yaitu elpiji 3 kg,  dan kayu bakar. Adapun untuk listrik, elpiji /blue gas 5,5 kg, elpiji 12 kg, gas kota, biogas, minyak tanah, briket, arang,  dan bahan bakar lainnya.  belum digunakan sebagai sumber bahan bakar utama oleh sebagian besar penduduk desa. Kecamatan Sumur. ;Sarana peribadatan yang tersedia di Kecamatan Sumur adalah masjid dan mushola, masing-masing sejumlah 33 unit dan 48 unit, sementara untuk sarana peribadatan lainnya belum tersedia.;Tersedia 4 jenis fasilitas/lapangan olahraga di Kecamatan Sumur kecuali untuk bola basket, tenis lapangan, futsal, renang, bela diri, bilyard, fitnes, aerobik, dan lain-lain,  dan sarana olahraga lainnya.  Bahkan, di seluruh desa sudah tersedia fasilitas olahraga untuk bola voli.  Sangat disayangkan, dari 1 jenis sarana yang tersedia di seluruh desa, sebagaimana telah disebutkan sebelumnya, tidak semuanya dalam kondisi baik. Informasi lainya yang perlu disampaikan selain ketersediaan fasilitas/lapangan olahraga adalah keberadaan kelompok/perkumpulan/klub olahraga. Berdasarkan data terakhir, diperoleh keterangan sebagai berikut,  terdapat 2 jenis olahraga yang kelompok/perkumpulan/klub olahraga yang tersebar di seluruh desa, yaitu sepak bola,  dan bola voli. , sementara untuk 10 jenis lainnya, seperti bulu tangkis, tenis meja, futsal,  hanya ada di sebagian desa saja. ;So far, in Sumur District already established 10 type of school facilities, as for several types of school facilities such as,  was not yet established. ;Grouped into school levels, the availability of educational facilities were as follows: preschool facilities are available, 9-year basic education facilities were already available, the educational facilities implementing the 12-year compulsory education program is already available, , while for institute or university level  was already avaliable;In terms of education providers other than universities, for the 9 types of education facilities available in Karangtanjung District,  3 types of facilities are dominated by the role of education providers from the private sector, except for dan kindergarten. ;The highest student - teacher ratio came from the senior high school level, which reaches 22, while the lowest occurred at the raudatul athfal level with a ratio of only 0. The ratio informs us that in senior high school, on average, each teacher is assigned to teach about 22 students, while in raudatul athfal, a teacher is tasked with overseeing 0 students.;In addition, the following information is obtained: The pupil-teacher ratio decreased at the kindergarten, elementary school, madrasah ibtidaiyah, madrasah tsanawiyah,  and madrasah aliyah.conversely, the ratio increased at the junior high school, senior high school. meanwhile, it stay constant at raudatul athfal,  dan vocational school.;Until 2022, there are  only found 2 health facilities , while 5 else, which are: hospital, maternity hospital, inpatient public health center, non-inpatient public health center, auxiliary health center not yet avaliable. Apart from that, not all health facilities are evenly distributed throughout all village;The main source of drinking water consumed by most of the community consists of 3 types, namely refillable drinking water, non-metered piped water, spring water, with the main source of drinking water is spring water. While, for branded bottled water, metered piped water, borehole or pump well,  dan well.  has not been utilised as the main source of drinking water by most of the population throughout village,  Furthermore, for river/lake/pond/reservoir/pond/dam, rainwater, other sources of drinking water,  is no longer utilised as a source of drinking water by all villages. ;The use of PLN electricity as the main source of lighting has only reached 0,80 percent, while the rest use lighting sourced from non PLN electricity which is equal to 0,20 percent;Street lighting sourced from government electricity has not been utilised by all villages. As for other street lighting sources, such as non-government electricity and non electricity are no longer used throughout desas. ;Final disposal with type individual household latrine has not been used by all village. It means, the types shared latrine and public latrine are no longer used in all villages. Unfortunately, the non latrine type of final disposal is still found in some village. ;Most people in a number of village use 2 the main type of fuel for cooking, namely 3 kg-LPG,  and firewood. Furthermore, for electric, blue gas/LPG 5.5 kg, 12 kg-LPG, city gas, biogas, kerosene, briquettes, charcoal,  and others fuels.  it is not yet used as the main source of fuel by most of the population of village. Sumur District. ;The available worship facilities in Sumur Subditrict are mosques and musholas, which are 33 units and 48 units respectively, while other worship facilities are not yet available.;There are 4 types of sports facilities/fields in Sumur District, except for basket ball, court tennis, futsal, swimming, martial arts, billiards, fitness, aerobic, etc,  and other sport facilities. In fact, all village have sports facilities for volley ball.  It is unfortunate that, of the 1 types of facilities available across the village, as mentioned earlier, not all of them are in good condition. Other information that needs to be conveyed besides the availability of sports facilities/fields is the existence of sports groups/associations/clubs. Based on the latest data, the following information was obtained, there are 2 types of sports groups/associations/clubs that are spread throughout village, namely foot ball,  and volley ball. , while for 10 other types, such as badminton, table tennis, futsal,  only exist in some parts of village. ;…;…;…;…;…;…;9;10;5;2;–;–;8;11;6;2;–;–;1;1;10;10;11;11;–;–;–;–;–;–;14;14;1;1;15;15;–;–;2;2;2;2;3;3;–  ;1;3;4;–;–;2;2;2;2;1;1;–  ;–  ;1;1;–  ;–  ;–  ;–  ;–  ;–  ;–;–;1;1;1;1;5;6;28;41;33;47;–;–;–;–;–;–;170;167;4;4;174;171;–;–;22;23;22;23;56;54;–  ;5;56;59;–;–;23;22;23;22;25;28;–  ;–  ;25;28;–  ;–  ;–  ;–  ;–  ;–  ;–;–;4;6;4;6;41;63;411;447;452;510;–;–;–;–;–;–;2.896;2.821;66;66;2.962;2.887;–;–;197;217;197;217;884;894;–  ;57;884;951;–;–;284;297;284;297;537;582;–  ;–  ;537;582;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;56;56;56;56;8;11;15;11;14;11;–;–;–;–;–;–;17;17;17;17;17;17;–;–;9;9;9;9;16;17;–;11;16;16;–;–;12;14;12;14;21;21;–;–;21;21;–;–;–;–;–;–;–;–;14;9;14;9;–;1;–;1;–;1;–;6;–;1;–;2;21;9;10;8;2;9;17;;;;;;;;;76;14;6;9;8;16;12;18;;;;;;;;;83;10;4;6;4;4;13;18;;;;;;;;;59;2;1;2;–;–;1;2;;;;;;;;;8;18;6;10;11;8;4;10;;;;;;;;;67;13;4;7;4;3;7;10;;;;;;;;;48;12;6;7;6;8;5;6;;;;;;;;;50;–;2;1;2;–;–;–;;;;;;;;;5;5;–;–;5;1;–;6;1;–;–;–;–;7;–;–;–;–;–;–;–;7;7;–;–;–;3;–;6;–;3;4;5;–;6;2;1;7;7
20;Cimanggu;12;Desa;Village;Rancapinang;Cibadak;Batuhideung;Tugu;Kramatjaya;Mangkualam;Padasuka;Ciburial;Waringinkurung;Cijaralang;Cimanggu;Tangkilsari;;;;CIMANGGU;D:\KCDA\2025\020\Bab4.PNG;D:\KCDA\2025\020\G041.png;D:\KCDA\2025\020\G042.png;Sampai saat ini, di Kecamatan Cimanggu sudah berdiri 10 jenis fasilitas sekolah, adapun untuk beberapa jenis fasilitas sekolah seperti,  belum tersedia. ;Dikelompokkan menjadi jenjang sekolah, ketersediaan fasilitas pendidikan sebagai berikut: fasilitas pendidikan pra sekolah sudah tersedia, fasilitas pendidikan dasar 9 tahun sudah tersedia, fasilitas pendidikan penyelenggara program wajib belajar 12 tahun sudah tersedia, , sementara untuk fasilitas pendidikan tinggi sudah tersedia;Ditinjau dari penyelenggara pendidikan selain perguruan tinggi untuk 9 jenis fasilitas pendidikan yang tersedia di Kecamatan Cimanggu,  jenis fasilitas diantaranya didominasi oleh peran penyelenggara pendidikan dari , kecuali untuk jenjang pendidikan ;Rasio murid - guru tertinggi berasal dari jenjang taman kanak-kanak, yaitu mencapai 20, sementara terendah terjadi pada jenjang raudatul athfal dengan rasio hanya 0. Rasio tersebut menginformasikan bahwa pada taman kanak-kanak, secara rata-rata setiap guru diberi tugas untuk mengajar sekitar 20 orang siswa, sementara di jenjang raudatul athfal, seorang guru mendapat tugas mengampu 0 murid.;Selain itu, diperoleh informasi juga sebagai berikut: Rasio murid-guru turun pada raudatul athfal, sekolah dasar, madrasah ibtidaiyah, sekolah menengah pertama , madrasah tsanawiyah, sekolah menengah kejuruan,  dan madrasah aliyah.sebaliknya besaran tersebut meningkat pada taman kanak-kanak. sementara itu, besaran tersebut tetap pada  dan sekolah menengah atas .;Sampai tahun 2022, sudah  terdapat 4 fasilitas kesehatan, sementara 3 lainnya, yaitu: rumah sakit, rumah sakit bersalin, poliklinik/balai pengobatan belum tersedia. Selain itu, belum semua fasilitas kesehatan tersebar merata di seluruh desa;Sumber air minum utama yang dikonsumsi oleh sebagaian besar masyarakat terdiri dari 3 jenis, yaitu sumur bor atau pompa, mata air, sungai/danau/kolam/ waduk/situ/ embung/bendungan,  dengan sumber air minum utama sumur bor atau pompa. Sementara, untuk air kemasan bermerk, air isi ulang, leding dengan meteran, leding tanpa meteran,  dan sumur.  belum dimanfaatkan sebagai sumber air minum utama oleh sebagian besar penduduk di seluruh village, sayang sekali, masih ditemukan desa yang menggunakan sumber air minum tidak terlindung seperti: sungai/danau/kolam/ waduk/situ/ embung/bendungan, ;Penggunaan listrik PLN sebagai sumber penerangan utama baru mencapai 0,80 persen, sedangkan selebihnya menggunakan penerangan yang bersumber dari listrik non PLN yaitu sebesar 0,20 persen;Penerangan jalan bersumber pada listrik pemerintah belum dimanfaatkan oleh seluruh desa. Adapun untuk sumber penerangan jalan lainnya, seperti non listrik sudah tidak digunakan lagi di seluruh desa. Sementara untuk  listrik non pemerintah  masih digunakan di sejumlah  desa. ;Pembuangan akhir dengan jenis jamban sendiri belum digunakan oleh seluruh desa. Artinya, untuk jenis jamban bersama dan jamban umum sudah tidak digunakan lagi di seluruh desa. Sayang sekali, untuk jenis pembuangan akhir bukan jamban masih ditemui di sejumlah desa. ;Sebagian besar masyarakat di sejumlah desa menggunakan 2 jenis bahan bakar utama untuk memasak, yaitu elpiji 3 kg,  dan kayu bakar. Adapun untuk listrik, elpiji /blue gas 5,5 kg, elpiji 12 kg, gas kota, biogas, minyak tanah, briket, arang,  dan bahan bakar lainnya.  belum digunakan sebagai sumber bahan bakar utama oleh sebagian besar penduduk desa. Kecamatan Cimanggu. ;Sarana peribadatan yang tersedia di Kecamatan Cimanggu adalah masjid dan mushola, masing-masing sejumlah 73 unit dan 86 unit, sementara untuk sarana peribadatan lainnya belum tersedia.;Tersedia 6 jenis fasilitas/lapangan olahraga di Kecamatan Cimanggu kecuali untuk tenis lapangan, futsal, renang, bilyard, fitnes, aerobik, dan lain-lain,  dan sarana olahraga lainnya.  Bahkan, di seluruh desa sudah tersedia fasilitas olahraga untuk bola voli.  Sangat disayangkan, dari 1 jenis sarana yang tersedia di seluruh desa, sebagaimana telah disebutkan sebelumnya, tidak semuanya dalam kondisi baik. Informasi lainya yang perlu disampaikan selain ketersediaan fasilitas/lapangan olahraga adalah keberadaan kelompok/perkumpulan/klub olahraga. Berdasarkan data terakhir, diperoleh keterangan sebagai berikut,  terdapat 2 jenis olahraga yang kelompok/perkumpulan/klub olahraga yang tersebar di seluruh desa, yaitu sepak bola,  dan bola voli. , sementara untuk 10 jenis lainnya, seperti bulu tangkis, bola basket, tenis meja,  hanya ada di sebagian desa saja. ;So far, in Cimanggu District already established 10 type of school facilities, as for several types of school facilities such as,  was not yet established. ;Grouped into school levels, the availability of educational facilities were as follows: preschool facilities are available, 9-year basic education facilities were already available, the educational facilities implementing the 12-year compulsory education program is already available, , while for institute or university level  was already avaliable;In terms of education providers other than universities, for the 9 types of education facilities available in Karangtanjung District,   types of facilities are dominated by the role of education providers from the private sector, except for ;The highest student - teacher ratio came from the kindergarten level, which reaches 20, while the lowest occurred at the raudatul athfal level with a ratio of only 0. The ratio informs us that in kindergarten, on average, each teacher is assigned to teach about 20 students, while in raudatul athfal, a teacher is tasked with overseeing 0 students.;In addition, the following information is obtained: The pupil-teacher ratio decreased at the raudatul athfal, elementary school, madrasah ibtidaiyah, junior high school, madrasah tsanawiyah, vocational school,  and madrasah aliyah.conversely, the ratio increased at the kindergarten. meanwhile, it stay constant at  dan senior high school.;Until 2022, there are already established  4 health facilities , while 3 else, which are: hospital, maternity hospital, polyclinic not yet avaliable. Apart from that, not all health facilities are evenly distributed throughout all village;The main source of drinking water consumed by most of the community consists of 3 types, namely borehole or pump well, spring water, river/lake/pond/reservoir/pond/dam, with the main source of drinking water is borehole or pump well. While, for branded bottled water, refillable drinking water, metered piped water, non-metered piped water,  dan well.  has not been utilised as the main source of drinking water by most of the population throughout village, unfortunately, there are still some village who use unprotected drinking water sources such as: sungai/danau/kolam/ waduk/situ/ embung/bendungan, ;The use of PLN electricity as the main source of lighting has only reached 0,80 percent, while the rest use lighting sourced from non PLN electricity which is equal to 0,20 percent;Street lighting sourced from government electricity has not been utilised by all villages. As for other street lighting sources, such as non listrik  it is no longer in use throughout villages. Meanwhile for non-government electricity is still used in a number of village. ;Final disposal with type individual household latrine has not been used by all village. It means, the types shared latrine and public latrine are no longer used in all villages. Unfortunately, the non latrine type of final disposal is still found in some village. ;Most people in a number of village use 2 the main type of fuel for cooking, namely 3 kg-LPG,  and firewood. Furthermore, for electric, blue gas/LPG 5.5 kg, 12 kg-LPG, city gas, biogas, kerosene, briquettes, charcoal,  and others fuels.  it is not yet used as the main source of fuel by most of the population of village. Cimanggu District. ;The available worship facilities in Cimanggu Subditrict are mosques and musholas, which are 73 units and 86 units respectively, while other worship facilities are not yet available.;There are 6 types of sports facilities/fields in Cimanggu District, except for court tennis, futsal, swimming, billiards, fitness, aerobic, etc,  and other sport facilities. In fact, all village have sports facilities for volley ball.  It is unfortunate that, of the 1 types of facilities available across the village, as mentioned earlier, not all of them are in good condition. Other information that needs to be conveyed besides the availability of sports facilities/fields is the existence of sports groups/associations/clubs. Based on the latest data, the following information was obtained, there are 2 types of sports groups/associations/clubs that are spread throughout village, namely foot ball,  and volley ball. , while for 10 other types, such as badminton, basket ball, table tennis,  only exist in some parts of village. ;…;…;…;…;…;…;13;17;11;3;1;–;16;17;11;1;2;–;1;1;21;21;22;22;–;–;2;2;2;2;31;31;–  ;–  ;31;31;–;–;7;8;7;8;7;7;1;1;8;8;–;–;5;5;5;5;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;2;2;2;2;–;–;1;2;1;2;5;5;57;58;62;63;–;–;9;9;9;9;354;344;–  ;–  ;354;344;–;–;68;75;68;75;82;82;5;5;87;87;–;–;65;60;65;60;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;36;36;36;36;–;–;15;26;15;26;47;53;675;624;722;677;–;–;111;53;111;53;3.874;3.953;–  ;–  ;3.874;3.953;–;–;720;720;720;720;915;927;77;80;992;1.007;–;–;355;382;355;382;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;604;635;604;635;–  ;–  ;73;99;73;99;9;11;12;11;12;11;–;–;12;6;12;6;11;11;–;–;11;11;–;–;11;10;11;10;11;11;15;16;11;12;–;–;5;6;5;6;–;–;–;–;–;–;–;–;17;18;17;18;–;–;5;4;5;4;–;–;2;2;–;–;2;2;–;–;1;2;12;2;6;20;19;4;13;5;1;1;12;–;;;;95;3;3;2;2;19;–;3;3;1;1;2;1;;;;40;13;1;5;9;10;8;8;6;10;1;18;19;;;;108;2;–;2;–;3;–;2;1;1;–;5;–;;;;16;10;–;3;3;17;2;64;36;2;–;29;1;;;;167;2;2;1;2;2;–;3;–;2;1;2;2;;;;19;8;2;5;1;16;4;58;32;1;–;24;2;;;;153;1;–;1;–;–;–;1;–;–;–;–;–;;;;3;6;1;–;6;–;–;10;–;–;–;–;–;7;–;–;–;–;–;5;–;12;12;–;–;–;–;10;12;–;1;–;–;–;1;1;–;1;2
