KodeKec;Nama;KECAMATAN;JumlahDesa;Desa_id;Desa_en;@Sekat;@Grafik1;@Grafik2;U501_id;U502_id;U503_id;U501_en;U502_en;U503_en;T51K3B1;T51K3B2;T51K3B3;T51K3B4;T51K3B5;T51K3B6;T51K3B7;T51K3B8;T51K3B9;T51K3B10;T51K3B11;T51K3B12;T51K3B13;T51K3B14;T51K3B15;T51K3B16;T51K3B17;T51K3B18;T51K3B19;T51K3B20;T51K3B21;T51K3B22;T51K3B23;T51K3B24;T51K3B25;T51K3B26;T51K4B1;T51K4B2;T51K4B3;T51K4B4;T51K4B5;T51K4B6;T51K4B7;T51K4B8;T51K4B9;T51K4B10;T51K4B11;T51K4B12;T51K4B13;T51K4B14;T51K4B15;T51K4B16;T51K4B17;T51K4B18;T51K4B19;T51K4B20;T51K4B21;T51K4B22;T51K4B23;T51K4B24;T51K4B25;T51K4B26;T52K3B1;T52K3B2;T52K3B3;T52K3B4;T52K3B5;T52K3B6;T52K3B7;T52K3B8;T52K3B9;T52K3B10;T52K3B11;T52K3B12;T52K3B13;T52K3B14;T52K3B15;T52K3B16;T52K3B17;T52K3B18;T52K3B19;T52K3B20;T52K3B21;T52K3B22;T52K3B23;T52K3B24;T52K3B25;T52K3B26;T52K4B1;T52K4B2;T52K4B3;T52K4B4;T52K4B5;T52K4B6;T52K4B7;T52K4B8;T52K4B9;T52K4B10;T52K4B11;T52K4B12;T52K4B13;T52K4B14;T52K4B15;T52K4B16;T52K4B17;T52K4B18;T52K4B19;T52K4B20;T52K4B21;T52K4B22;T52K4B23;T52K4B24;T52K4B25;T52K4B26;T53K3B1;T53K3B2;T53K3B3;T53K3B4;T53K3B5;T53K3B6;T53K3B7;T53K3B8;T53K3B9;T53K3B10;T53K3B11;T53K3B12;T53K3B13;T53K3B14;T53K3B15;T53K3B16;T53K4B1;T53K4B2;T53K4B3;T53K4B4;T53K4B5;T53K4B6;T53K4B7;T53K4B8;T53K4B9;T53K4B10;T53K4B11;T53K4B12;T53K4B13;T53K4B14;T53K4B15;T53K4B16;T54K3B1;T54K3B2;T54K3B3;T54K3B4;T54K3B5;T54K3B6;T54K3B7;T54K3B8;T54K3B9;T54K3B10;T54K3B11;T54K3B12;T54K3B13;T54K3B14;T54K3B15;T54K3B16;T54K4B1;T54K4B2;T54K4B3;T54K4B4;T54K4B5;T54K4B6;T54K4B7;T54K4B8;T54K4B9;T54K4B10;T54K4B11;T54K4B12;T54K4B13;T54K4B14;T54K4B15;T54K4B16;T55K3B1;T55K3B2;T55K3B3;T55K3B4;T55K3B5;T55K3B6;T55K3B7;T55K3B8;T55K3B9;T55K3B10;T55K3B11;T55K3B12;T55K3B13;T55K3B14;T55K3B15;T55K3B16;T55K3B17;T55K3B18;T55K3B19;T55K3B20;T55K4B1;T55K4B2;T55K4B3;T55K4B4;T55K4B5;T55K4B6;T55K4B7;T55K4B8;T55K4B9;T55K4B10;T55K4B11;T55K4B12;T55K4B13;T55K4B14;T55K4B15;T55K4B16;T55K4B17;T55K4B18;T55K4B19;T55K4B20;T56K3B1;T56K3B2;T56K3B3;T56K3B4;T56K3B5;T56K3B6;T56K3B7;T56K3B8;T56K3B9;T56K3B10;T56K3B11;T56K3B12;T56K3B13;T56K3B14;T56K3B15;T56K3B16;T56K3B17;T56K3B18;T56K3B19;T56K3B20;T56K4B1;T56K4B2;T56K4B3;T56K4B4;T56K4B5;T56K4B6;T56K4B7;T56K4B8;T56K4B9;T56K4B10;T56K4B11;T56K4B12;T56K4B13;T56K4B14;T56K4B15;T56K4B16;T56K4B17;T56K4B18;T56K4B19;T56K4B20;T57K3B1;T57K3B2;T57K3B3;T57K3B4;T57K3B5;T57K3B6;T57K3B7;T57K3B8;T57K3B9;T57K3B10;T57K3B11;T57K3B12;T57K3B13;T57K3B14;T57K3B15;T57K3B16;T57K3B17;T57K3B18;T57K3B19;T57K3B20;T57K3B21;T57K3B22;T57K3B23;T57K3B24;T57K3B25;T57K3B26;T57K3B27;T57K4B1;T57K4B2;T57K4B3;T57K4B4;T57K4B5;T57K4B6;T57K4B7;T57K4B8;T57K4B9;T57K4B10;T57K4B11;T57K4B12;T57K4B13;T57K4B14;T57K4B15;T57K4B16;T57K4B17;T57K4B18;T57K4B19;T57K4B20;T57K4B21;T57K4B22;T57K4B23;T57K4B24;T57K4B25;T57K4B26;T57K4B27
10;Sumur;SUMUR;7;Desa;Village;D:\KCDA\2025\010\Bab5.PNG;D:\KCDA\2025\010\G051.png;D:\KCDA\2025\010\G052.png;Sepanjang tahun 2024–2025,  terdapat 8 jenis tanaman sayuran/buah-buahan semusim yang dibudidayakan di Kecamatan Sumur, yaitu cabai rawit, kacang panjang, kangkung, ketimun, semangka, terung, cabai besar, dan cabai keriting.  Pada tahun 2023, luas panen terbesar berasal dari tanaman Ketimun dengan luas panen 12 ha. Sama seperti luas panen, produksi terbesar berasal dari Ketimun, yaitu 2.065 kwintal. Lebih lanjut, untuk tahun 2024, luas panen terbesar dihasilkan oleh tanaman Semangka dengan luas panen 29 ha. Berbeda dengan luas panen, produksi terbesar berasal dari Cabai Rawit, yaitu 1.350 kwintal.;Selain sayuran dan buah-buahan semusim, didapati juga 9 jenis tanaman biofarma yang dibudidayakan di Kecamatan Sumur, yaitu jahe, kapulaga, kencur, kunyit, laos/lengkuas, lempuyang, lidah buaya, mahkota dewa, dan temulawak.;Budidaya tanaman lain yang juga dapat dijumpai di Kecamatan Sumur adalah 23 jenis buah-buahan tahunan, yaitu alpukat, anggur, apel, belimbing, duku/langsat/kokosan, durian, jambu air, jambu biji, jengkol, jeruk besar, jeruk siam/keprok, mangga, manggis, nangka/cempedak, nenas, pepaya, pisang, rambutan, sawo, sirsak, sukun, lemon, dan lengkeng.  Lebih lanjut, volume produksi tanaman buah-buahan tahunan utama untuk Tahun 2024 adalah lemon yaitu mencapai 69.402 kuintal. Adapun untuk produksi utama tanaman buah-buahan tahunan Tahun 2023 adalah lemon dengan volume sebesar 56.128 kuintal.;Throughout 2023-2024, there are 9 types of annual vegetable/fruit crops that are cultivated in Sumur District, namely bird's eye chili, long beans, water spinach, cucumber, water melon, eggplant, tomato, big chili/bell pepper, and chili curly/chili pepper.  In 2023, the largest harvest area came from the crop Cucumber with a harvest area of 12 ha.Just like the harvested area, the largest production came from cucumber, which was 2.065 kwintal. Furthermore, for 2024, the largest harvested area is generated by the crop Water Melon with a harvested area of 29 ha. Unlike the harvest area, the largest production comes from Bird'S Eye Chili, i.e. 1,350 quintals.;In addition to annual vegetable and fruit crops, there are also found 9 kind of medicinal crops cultivated in Sumur  District, which are ginger, java cardamom, east indian galangal, turmeric, galangal, zingiber aromaticum, aloevera, phaleria macrocarpa, and java turmeric.;Other crop cultivations that can also be found in Sumur District are 23 kind of parennial fruit crops, which are avocado, grape, apple, star fruit, duku, durian, water apple, guava, jengkol, pomelo, orange/tangerine, mango, mangosteen, jackfruit, pineapple, papaya, banana, rambutan, sapodilla/sawo, soursop, breadfruit, lemon, and dimocarpus longan.  Furthermore, the production volume of major parennial fruit crops for Year 2024 is lemon reaching 69,402 quintals respectively. As for the main production of parennial fruit crops for Year 2023 is lemon with a volume of 56,128 quintals.;–  ;–  ;–  ;–  ;–  ;14;8;1;–  ;–  ;5;–  ;–  ;–  ;–  ;–  ;29;–  ;4;–  ;–  ;3;9;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;19;2;–  ;–  ;–  ;6;–  ;–  ;–  ;–  ;–  ;3;–  ;3;–  ;–  ;–  ;11;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.350;460;55;–  ;–  ;250;–  ;–  ;–  ;–  ;–  ;995;–  ;245;–  ;–  ;300;900;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.900;165;–  ;–  ;–  ;630;–  ;–  ;–  ;–  ;–  ;900;–  ;302;–  ;–  ;–  ;1.100;–  ;–  ;–  ;3.000;–  ;...  ;11.000;5.000;2.500;3.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;3.500;–  ;...  ;6.000;1.000;1.500;1.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;3.000;12.000;–  ;...  ;77.000;10.000;5.000;10.500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;19.500;–  ;...  ;19.500;2.000;5.000;4.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;11.500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;103;1;–  ;1;–  ;14;–  ;–  ;1393;–  ;–  ;69402;624;13530;–  ;–  ;–  ;2660;23942;1297;–  ;–  ;–  ;–  ;15;–  ;–  ;300;–  ;–  ;30;–  ;520;–  ;–  ;3150;–  ;–  ;36000;400;7400;–  ;–  ;–  ;7000;44200;500;–  ;–  ;–  ;–  ;–  ;–  ;–  
20;Cimanggu;CIMANGGU;12;Desa;Village;D:\KCDA\2025\020\Bab5.PNG;D:\KCDA\2025\020\G051.png;D:\KCDA\2025\020\G052.png;Sepanjang tahun 2024–2025,  terdapat 5 jenis tanaman sayuran/buah-buahan semusim yang dibudidayakan di Kecamatan Cimanggu, yaitu cabai rawit, kacang panjang, ketimun, terung, dan cabai keriting.  Pada tahun 2023, luas panen terbesar berasal dari tanaman Kacang Panjang dengan luas panen 5 ha.Tidak seperti gambaran luas panen, produksi terbesar berasal dari Cabai Rawit, yaitu 400 kwintal. Lebih lanjut, untuk tahun 2024, luas panen terbesar dihasilkan oleh tanaman Cabai Rawit dengan luas panen 15 ha. Sama seperti luas panen, produksi terbesar berasal dari Cabai Rawit, yaitu 1.480 kwintal.;Selain sayuran dan buah-buahan semusim, didapati juga 4 jenis tanaman biofarma yang dibudidayakan di Kecamatan Cimanggu, yaitu jahe, kapulaga, kencur, dan temulawak.;Budidaya tanaman lain yang juga dapat dijumpai di Kecamatan Cimanggu adalah 14 jenis buah-buahan tahunan, yaitu alpukat, apel, duku/langsat/kokosan, durian, jambu biji, mangga, manggis, nangka/cempedak, nenas, pepaya, pisang, rambutan, lemon, dan lengkeng.  Lebih lanjut, volume produksi tanaman buah-buahan tahunan utama untuk Tahun 2024 adalah lemon yaitu mencapai 6.250 kuintal. Adapun untuk produksi utama tanaman buah-buahan tahunan Tahun 2023 adalah lemon dengan volume sebesar 22.972 kuintal.;Throughout 2023-2024, there are 6 types of annual vegetable/fruit crops that are cultivated in Cimanggu District, namely bird's eye chili, long beans, cucumber, water melon, eggplant, and chili curly/chili pepper.  In 2023, the largest harvest area came from the crop Long Beans with a harvest area of 5 ha. Unlike the overview of the harvest area, the largest production came from bird's eye chili, i.e. 400 kwintal. Furthermore, for 2024, the largest harvested area is generated by the crop Bird'S Eye Chili with a harvested area of 15 ha. Same as the harvest area, the largest production comes from Bird'S Eye Chili, i.e. 1,480 quintals.;In addition to annual vegetable and fruit crops, there are also found 4 kind of medicinal crops cultivated in Cimanggu  District, which are ginger, java cardamom, east indian galangal, and java turmeric.;Other crop cultivations that can also be found in Cimanggu District are 14 kind of parennial fruit crops, which are avocado, apple, duku, durian, guava, mango, mangosteen, jackfruit, pineapple, papaya, banana, rambutan, lemon, and dimocarpus longan.  Furthermore, the production volume of major parennial fruit crops for Year 2024 is lemon reaching 6,250 quintals respectively. As for the main production of parennial fruit crops for Year 2023 is lemon with a volume of 22,972 quintals.;–  ;–  ;–  ;–  ;–  ;15;3;–  ;–  ;–  ;3;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;13;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;22;2;–  ;–  ;–  ;2;–  ;–  ;–  ;–  ;–  ;–  ;–  ;5;–  ;–  ;–  ;20;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.480;195;–  ;–  ;–  ;226;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1300;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;2.200;195;–  ;–  ;–  ;195;–  ;–  ;–  ;–  ;–  ;–  ;–  ;470;–  ;–  ;–  ;2.000;–  ;–  ;–  ;–  ;–  ;...  ;500;1.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;5.000;–  ;...  ;2.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.000;–  ;–  ;...  ;1.500;3.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;13.000;–  ;...  ;8.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;4.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;150;–  ;–  ;–  ;–  ;1550;–  ;–  ;1085;–  ;–  ;6250;1060;545;–  ;–  ;–  ;1580;6230;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;200;–  ;–  ;–  ;–  ;3200;–  ;–  ;1350;–  ;–  ;18500;1400;475;–  ;–  ;–  ;1100;28700;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  
30;Cibaliung;CIBALIUNG;9;Desa;Village;D:\KCDA\2025\030\Bab5.PNG;D:\KCDA\2025\030\G051.png;D:\KCDA\2025\030\G052.png;Sepanjang tahun 2024–2025,  terdapat 9 jenis tanaman sayuran/buah-buahan semusim yang dibudidayakan di Kecamatan Cibaliung, yaitu cabai rawit, kacang panjang, kangkung, melon, petsai, semangka, terung, tomat, dan cabai keriting.  Pada tahun 2023, luas panen terbesar berasal dari tanaman Petsai/Sawi dengan luas panen 3 ha.Tidak seperti gambaran luas panen, produksi terbesar berasal dari Terung, yaitu 318 kwintal. Lebih lanjut, untuk tahun 2024, luas panen terbesar dihasilkan oleh tanaman Cabai Rawit dengan luas panen 8 ha. Sama seperti luas panen, produksi terbesar berasal dari Cabai Rawit, yaitu 800 kwintal.;Selain sayuran dan buah-buahan semusim, didapati juga 10 jenis tanaman biofarma yang dibudidayakan di Kecamatan Cibaliung, yaitu jahe, kapulaga, kencur, kunyit, laos/lengkuas, lempuyang, lidah buaya, mahkota dewa, serai, dan temulawak.;Budidaya tanaman lain yang juga dapat dijumpai di Kecamatan Cibaliung adalah 23 jenis buah-buahan tahunan, yaitu alpukat, apel, belimbing, duku/langsat/kokosan, durian, jambu air, jambu biji, jeruk besar, jeruk siam/keprok, mangga, manggis, nangka/cempedak, nenas, pepaya, pisang, rambutan, salak, sawo, sirsak, sukun, buah naga, lemon, dan lengkeng.  Lebih lanjut, volume produksi tanaman buah-buahan tahunan utama untuk Tahun 2024 adalah lengkeng yaitu mencapai 7.600 kuintal. Adapun untuk produksi utama tanaman buah-buahan tahunan Tahun 2023 adalah jambu biji dengan volume sebesar 6.242 kuintal.;Throughout 2023-2024, there are 13 types of annual vegetable/fruit crops that are cultivated in Cibaliung District, namely shallots, spinach, bird's eye chili, long beans, water spinach, cucumber, melon, chinese cabbage/mustard green, water melon, eggplant, tomato, big chili/bell pepper, and chili curly/chili pepper.  In 2023, the largest harvest area came from the crop Chinese Cabbage/Mustard Green with a harvest area of 3 ha. Unlike the overview of the harvest area, the largest production came from eggplant, i.e. 318 kwintal. Furthermore, for 2024, the largest harvested area is generated by the crop Bird'S Eye Chili with a harvested area of 8 ha. Same as the harvest area, the largest production comes from Bird'S Eye Chili, i.e. 800 quintals.;In addition to annual vegetable and fruit crops, there are also found 10 kind of medicinal crops cultivated in Cibaliung  District, which are ginger, java cardamom, east indian galangal, turmeric, galangal, zingiber aromaticum, aloevera, phaleria macrocarpa, lemongrass, and java turmeric.;Other crop cultivations that can also be found in Cibaliung District are 23 kind of parennial fruit crops, which are avocado, apple, star fruit, duku, durian, water apple, guava, pomelo, orange/tangerine, mango, mangosteen, jackfruit, pineapple, papaya, banana, rambutan, snakefruit, sapodilla/sawo, soursop, breadfruit, dragon fruit, lemon, and dimocarpus longan.  Furthermore, the production volume of major parennial fruit crops for Year 2024 is dimocarpus longan reaching 7,600 quintals respectively. As for the main production of parennial fruit crops for Year 2023 is guava with a volume of 6,242 quintals.;–  ;–  ;–  ;–  ;–  ;8;1;1,5;–  ;–  ;–  ;–  ;–  ;2;–  ;0,75;0,25;–  ;0,5;0,25;–  ;–  ;5;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;16;4;–  ;–  ;–  ;2;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1;–  ;–  ;–  ;21;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;800;140;171;–  ;–  ;–  ;–  ;–  ;225;–  ;125;45;–  ;5;35;–  ;–  ;500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.500;332;–  ;–  ;–  ;270;–  ;–  ;–  ;–  ;–  ;–  ;–  ;65;–  ;–  ;–  ;2.100;–  ;–  ;–  ;–  ;–  ;...  ;100;500;–  ;–  ;–  ;–  ;1.000;–  ;–  ;–  ;–  ;–  ;500;9.000;–  ;...  ;–  ;500;1.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;300;–  ;–  ;–  ;...  ;400;650;–  ;–  ;–  ;–  ;5.000;–  ;–  ;–  ;–  ;–  ;1.500;20.500;–  ;...  ;–  ;500;3.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.500,00;–  ;44;–  ;–  ;–  ;–  ;–  ;–  ;20;36;370;–  ;–  ;–  ;25;20;–  ;–  ;–  ;7;185;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;120;–  ;–  ;–  ;–  ;–  ;–  ;80;90;950;–  ;–  ;–  ;75;40;–  ;–  ;–  ;21;450;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;59;–  ;–  ;–  ;–  ;1720;–  ;–  ;5400;–  ;–  ;4450;7600;5300;–  ;–  ;–  ;920;5700;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;45;–  ;–  ;–  ;–  ;2000;–  ;–  ;5300;–  ;–  ;3600;7000;5400;–  ;–  ;–  ;1450;11500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  
31;Cibitung;CIBITUNG;10;Desa;Village;D:\KCDA\2025\031\Bab5.PNG;D:\KCDA\2025\031\G051.png;D:\KCDA\2025\031\G052.png;Sepanjang tahun 2024–2025,  terdapat 4 jenis tanaman sayuran/buah-buahan semusim yang dibudidayakan di Kecamatan Cibitung, yaitu cabai rawit, kacang panjang, ketimun, dan cabai keriting.  Pada tahun 2023, luas panen terbesar berasal dari tanaman Kacang Panjang dengan luas panen 13 ha.Tidak seperti gambaran luas panen, produksi terbesar berasal dari Ketimun, yaitu 559 kwintal. Lebih lanjut, untuk tahun 2024, luas panen terbesar dihasilkan oleh tanaman Cabai Rawit dengan luas panen 5 ha. Sama seperti luas panen, produksi terbesar berasal dari Cabai Rawit, yaitu 500 kwintal.;Selain sayuran dan buah-buahan semusim, didapati juga 3 jenis tanaman biofarma yang dibudidayakan di Kecamatan Cibitung, yaitu jahe, kapulaga, dan kencur.;Budidaya tanaman lain yang juga dapat dijumpai di Kecamatan Cibitung adalah 8 jenis buah-buahan tahunan, yaitu alpukat, duku/langsat/kokosan, jambu biji, mangga, pepaya, pisang, lemon, dan lengkeng.  Lebih lanjut, volume produksi tanaman buah-buahan tahunan utama untuk Tahun 2024 adalah pisang yaitu mencapai 12.700 kuintal. Sayang sekali, data produksi buah-buahan tahunan untuk tahun 2023 tidak tersedia.;Throughout 2023-2024, there are 7 types of annual vegetable/fruit crops that are cultivated in Cibitung District, namely bird's eye chili, long beans, cucumber, eggplant, tomato, big chili/bell pepper, and chili curly/chili pepper.  In 2023, the largest harvest area came from the crop Long Beans with a harvest area of 13 ha. Unlike the overview of the harvest area, the largest production came from cucumber, i.e. 559 kwintal. Furthermore, for 2024, the largest harvested area is generated by the crop Bird'S Eye Chili with a harvested area of 5 ha. Same as the harvest area, the largest production comes from Bird'S Eye Chili, i.e. 500 quintals.;In addition to annual vegetable and fruit crops, there are also found 3 kind of medicinal crops cultivated in Cibitung  District, which are ginger, java cardamom, and east indian galangal.;Other crop cultivations that can also be found in Cibitung District are 8 kind of parennial fruit crops, which are avocado, duku, guava, mango, papaya, banana, lemon, and dimocarpus longan.  Furthermore, the production volume of major parennial fruit crops for Year 2024 is banana reaching 12,700 quintals respectively. Unfortunately, the parennial fruit production data for 2023 is not available.;–  ;–  ;–  ;–  ;–  ;5;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;6;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;22;2;–  ;–  ;–  ;1;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;15;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;580;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;2.200;230;–  ;–  ;–  ;65;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;1.500;–  ;–  ;–  ;5.000;–  ;...  ;500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;10.000;–  ;...  ;5.000;3.500;1.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;5.000;4.500;–  ;...  ;1.500;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;28.000;–  ;...  ;13.000;10.500;2.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;15.000;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;150;–  ;–  ;–  ;–  ;770;–  ;–  ;540;–  ;–  ;770;1500;1515;–  ;–  ;–  ;1125;12700;–  ;–  ;–  ;–  ;–  ;–  ;–  ;–  ;250;–  ;–  ;100;–  ;2000;–  ;–  ;650;–  ;–  ;1520;14500;1750;–  ;–  ;100;1485;25600;1000;–  ;–  ;–  ;–  ;–  ;–  ;–  
