KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;KEC_PRO;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KEC_UPP;@Sekat;@Grafik1;@Grafik2;U201_id;U202_id;U203_id;U204_id;U201_en;U202_en;U203_en;U204_en;T211K2B1;T211K2B2;T211K2B3;T211K2B4;T211K2B5;T211K2B6;T211K2B7;T211K2B8;T211K2B9;T211K2B10;T211K2B11;T211K2B12;T211K2B13;T211K2B14;T211K2B15;T211K2B16;T211K3B1;T211K3B2;T211K3B3;T211K3B4;T211K3B5;T211K3B6;T211K3B7;T211K3B8;T211K3B9;T211K3B10;T211K3B11;T211K3B12;T211K3B13;T211K3B14;T211K3B15;T211K3B16;T221K1B1_id;T221K1B2_id;T221K1B3_id;T221K1B4_id;T221K1B5_id;T221K1B6_id;T221K1B7_id;T221K1B8_id;T221K1B9_id;T221K1B10_id;T221K1B11_id;T221K1B12_id;T221K1B13_id;T221K1B14_id;T221K1B15_id;T221K1B16_id;T221K1B1_en;T221K1B2_en;T221K1B3_en;T221K1B4_en;T221K1B5_en;T221K1B6_en;T221K1B7_en;T221K1B8_en;T221K1B9_en;T221K1B10_en;T221K1B11_en;T221K1B12_en;T221K1B13_en;T221K1B14_en;T221K1B15_en;T221K1B16_en;T221K2B1;T221K2B2;T221K2B3;T221K2B4;T221K2B5;T221K2B6;T221K2B7;T221K2B8;T221K2B9;T221K2B10;T221K2B11;T221K2B12;T221K2B13;T221K2B14;T221K2B15;T221K2B16;T221K2B17;T221K3B1;T221K3B2;T221K3B3;T221K3B4;T221K3B5;T221K3B6;T221K3B7;T221K3B8;T221K3B9;T221K3B10;T221K3B11;T221K3B12;T221K3B13;T221K3B14;T221K3B15;T221K3B16;T221K3B17;T221K4B1;T221K4B2;T221K4B3;T221K4B4;T221K4B5;T221K4B6;T221K4B7;T221K4B8;T221K4B9;T221K4B10;T221K4B11;T221K4B12;T221K4B13;T221K4B14;T221K4B15;T221K4B16;T221K4B17;T222K2B1;T222K2B2;T222K2B3;T222K2B4;T222K2B5;T222K2B6;T222K2B7;T222K2B8;T222K2B9;T222K2B10;T222K2B11;T222K3B1;T222K3B2;T222K3B3;T222K3B4;T222K3B5;T222K3B6;T222K3B7;T222K3B8;T222K3B9;T222K3B10;T222K3B11;T222K4B1;T222K4B2;T222K4B3;T222K4B4;T222K4B5;T222K4B6;T222K4B7;T222K4B8;T222K4B9;T222K4B10;T222K4B11;T223K2B1;T223K2B2;T223K2B3;T223K2B4;T223K2B5;T223K3B1;T223K3B2;T223K3B3;T223K3B4;T223K3B5;T223K4B1;T223K4B2;T223K4B3;T223K4B4;T223K4B5
10;Sumur;7;Desa;Village;Sumur;Ujungjaya;Tamanjaya;Cigorondong;Tunggaljaya;Kertamukti;Kertajaya;Sumberjaya;;;;;;;;;SUMUR;D:\KCDA\2025\010\Bab2.PNG;D:\KCDA\2025\010\G021.png;D:\KCDA\2025\010\G022.png;Kecamatan Sumur secara keseluruhan memiliki 43 RW. Desa dengan jumlah RW terbanyak adalah Sumberjaya yaitu 9 unit, sementara paling sedikit berasal dari Cigorondong dengan 4 RW. Jumlah seluruh RT dalam Kecamatan Sumur adalah 134 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Kertajaya yaitu 23 unit, sementara paling sedikit berasal dari Tamanjaya dengan 15 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Sumur berjumlah 9 orang, terdiri dari 8 pegawai laki–laki dan 1 pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Sumur.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Sumur adalah sebagai berikut: SMA: 11,1 persen, Sarjana: 88,9 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Sumur adalah sebagai berikut: golongan II: 11,1 persen, golongan III: 77,8 persen, golongan IV: 11,1 persen.;The District of Sumur as a whole has 43 Rukun Warga (RW). The village with the largest number of RW's  was Sumberjaya which has 9 units, while the lowest was from Cigorondong with 4 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Sumur District 134 unit. The village with the highest number of RT's  was Kertajaya which had 23 units, while the lowest comes from Tamanjaya with 15 RT's;There are 9 civil servants working in the government office in Sumur District, consisting of 8 male  and only 1 female employees. All of those civil servants work at the Government Office of Sumur District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Sumur District are as follows: Senior High School is 11.1 percent, Bachelor's Degree is 88.9 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Sumur District are as follows: group II is 11.1 percent, group III is 77.8 percent, group IV is 11.1 percent.;8;6;4;5;6;5;9;;;;;;;;;43;21;15;18;18;19;23;20;;;;;;;;;134;Kecamatan Sumur/;Desa Ujungjaya/;Desa Tamanjaya/;Desa Cigorondong/;Desa Tunggaljaya/;Desa Kertamukti/;Desa Kertajaya/;Desa Sumberjaya/;;;;;;;;;District of Sumur;Village of Ujungjaya;Village of Tamanjaya;Village of Cigorondong;Village of Tunggaljaya;Village of Kertamukti;Village of Kertajaya;Village of Sumberjaya;;;;;;;;;9;–;–;–;–;–;–;–;;;;;;;;;9;1;–;–;–;–;–;–;–;;;;;;;;;1;10;–;–;–;–;–;–;–;;;;;;;;;10;–;–;1;–;–;–;–;8;–;–;9;–;–;–;–;–;–;–;1;–;–;1;–;–;1;–;–;–;–;9;–;–;10;–;1;6;2;9;–;–;1;–;1;–;1;7;2;10
20;Cimanggu;12;Desa;Village;Cimanggu;Rancapinang;Cibadak;Batuhideung;Tugu;Kramatjaya;Mangkualam;Padasuka;Ciburial;Waringinkurung;Cijaralang;Cimanggu;Tangkilsari;;;;CIMANGGU;D:\KCDA\2025\020\Bab2.PNG;D:\KCDA\2025\020\G021.png;D:\KCDA\2025\020\G022.png;Kecamatan Cimanggu secara keseluruhan memiliki 72 RW. Desa dengan jumlah RW terbanyak adalah Cibadak dan Cimanggu masing–masing 8 unit, sementara paling sedikit berasal dari Ciburial dan Tugu dengan 4 RW. Jumlah seluruh RT dalam Kecamatan Cimanggu adalah 241 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Rancapinang yaitu 29 unit, sementara paling sedikit berasal dari Mangkualam dengan 14 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Cimanggu berjumlah 15 orang, terdiri dari 11 pegawai laki–laki dan 4 pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Cimanggu.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cimanggu adalah sebagai berikut: SMA: 6,7 persen, Sarjana: 80,0 persen, Magister: 13,3 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cimanggu adalah sebagai berikut: golongan II: 6,7 persen, golongan III: 86,7 persen, golongan IV: 6,7 persen.;The District of Cimanggu as a whole has 72 Rukun Warga (RW). The village with the largest number of RW's  were Cibadak and Cimanggu each has 8 units, while the lowest was from Ciburial dan Tugu with 4 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Cimanggu District 241 unit. The village with the highest number of RT's  was Rancapinang which had 29 units, while the lowest comes from Mangkualam with 14 RT's;There are 15 civil servants working in the government office in Cimanggu District, consisting of 11 male  and 4 female employees. All of those civil servants work at the Government Office of Cimanggu District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Cimanggu District are as follows: Senior High School is 6.7 percent, Bachelor's Degree is 80.0 percent, Master's Degree is 13.3 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Cimanggu District are as follows: group II is 6.7 percent, group III is 86.7 percent, group IV is 6.7 percent.;6;8;7;4;8;5;6;8;6;6;8;6;;;;78;28;24;25;15;18;14;25;20;18;23;17;16;;;;243;Kecamatan Cimanggu/;Desa Rancapinang/;Desa Cibadak/;Desa Batuhideung/;Desa Tugu/;Desa Kramatjaya/;Desa Mangkualam/;Desa Padasuka/;Desa Ciburial/;Desa Waringinkurung/;Desa Cijaralang/;Desa Cimanggu/;Desa Tangkilsari/;;;;District of Cimanggu;Village of Rancapinang;Village of Cibadak;Village of Batuhideung;Village of Tugu;Village of Kramatjaya;Village of Mangkualam;Village of Padasuka;Village of Ciburial;Village of Waringinkurung;Village of Cijaralang;Village of Cimanggu;Village of Tangkilsari;;;;11;–;–;–;–;–;–;–;–;–;–;–;–;;;;11;4;–;–;–;–;–;–;–;–;–;–;–;–;;;;4;15;–;–;–;–;–;–;–;–;–;–;–;–;;;;15;–;–;1;–;–;–;–;9;1;–;11;–;–;–;–;–;–;–;3;1;–;4;–;–;1;–;–;–;–;12;2;–;15;–;1;9;1;11;–;–;3;1;4;–;1;12;2;15
30;Cibaliung;9;Desa;Village;Cibaliung;Sukajadi;Sudimanik;Sorongan;Curug;Cihanjuang;Cibingbin;Cibaliung;Mendung;Mahendra;;;;;;;CIBALIUNG;D:\KCDA\2025\030\Bab2.PNG;D:\KCDA\2025\030\G021.png;D:\KCDA\2025\030\G022.png;Kecamatan Cibaliung secara keseluruhan memiliki 62 RW. Desa dengan jumlah RW terbanyak adalah Cibaliung yaitu 10 unit, sementara paling sedikit berasal dari Sorongan dan Sudimanik dengan 5 RW. Jumlah seluruh RT dalam Kecamatan Cibaliung adalah 183 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Sukajadi yaitu 32 unit, sementara paling sedikit berasal dari Sudimanik dengan 14 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Cibaliung berjumlah 12 orang, terdiri dari 12 pegawai laki–laki dan – pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Cibaliung.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cibaliung adalah sebagai berikut: SMA: 16,7 persen, Sarjana: 58,3 persen, Magister: 25,0 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cibaliung adalah sebagai berikut: golongan II: 8,3 persen, golongan III: 66,7 persen, golongan IV: 25,0 persen.;The District of Cibaliung as a whole has 62 Rukun Warga (RW). The village with the largest number of RW's  was Cibaliung which has 10 units, while the lowest was from Sorongan dan Sudimanik with 5 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Cibaliung District 183 unit. The village with the highest number of RT's  was Sukajadi which had 32 units, while the lowest comes from Sudimanik with 14 RT's;There are 12 civil servants working in the government office in Cibaliung District, consisting of 12 male  and – female employees. All of those civil servants work at the Government Office of Cibaliung District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Cibaliung District are as follows: Senior High School is 16.7 percent, Bachelor's Degree is 58.3 percent, Master's Degree is 25.0 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Cibaliung District are as follows: group II is 8.3 percent, group III is 66.7 percent, group IV is 25.0 percent.;9;5;5;6;7;6;10;8;6;;;;;;;62;34;16;17;15;24;17;25;22;17;;;;;;;187;Kecamatan Cibaliung/;Desa Sukajadi/;Desa Sudimanik/;Desa Sorongan/;Desa Curug/;Desa Cihanjuang/;Desa Cibingbin/;Desa Cibaliung/;Desa Mendung/;Desa Mahendra/;;;;;;;District of Cibaliung;Village of Sukajadi;Village of Sudimanik;Village of Sorongan;Village of Curug;Village of Cihanjuang;Village of Cibingbin;Village of Cibaliung;Village of Mendung;Village of Mahendra;;;;;;;9;–;–;–;–;–;–;–;–;–;;;;;;;9;–;–;–;–;–;–;–;–;–;–;;;;;;;–;9;–;–;–;–;–;–;–;–;–;;;;;;;9;–;–;1;–;–;–;–;6;2;–;9;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;–;–;–;6;2;–;9;–;1;6;2;9;–;–;–;–;–;–;1;6;2;9
31;Cibitung;10;Desa;Village;Cibitung;Citeluk;Sindangkerta;Kiarajangkung;Kutakarang;Cikiruh;Malangnengah;Cikadu;Manglid;Kiarapayung;Cikalong;;;;;;CIBITUNG;D:\KCDA\2025\031\Bab2.PNG;D:\KCDA\2025\031\G021.png;D:\KCDA\2025\031\G022.png;Kecamatan Cibitung secara keseluruhan memiliki 63 RW. Desa dengan jumlah RW terbanyak adalah Cikadu yaitu 8 unit, sementara paling sedikit berasal dari Malangnengah dan Sindangkerta dengan 5 RW. Jumlah seluruh RT dalam Kecamatan Cibitung adalah 165 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Kutakarang yaitu 24 unit, sementara paling sedikit berasal dari Sindangkerta dengan 10 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Cibitung berjumlah 14 orang, terdiri dari 14 pegawai laki–laki dan – pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Cibitung.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cibitung adalah sebagai berikut: SMA: 28,6 persen, D–II: 7,1 persen, Sarjana: 50,0 persen, Magister: 14,3 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cibitung adalah sebagai berikut: golongan II: 21,4 persen, golongan III: 64,3 persen, golongan IV: 14,3 persen.;The District of Cibitung as a whole has 63 Rukun Warga (RW). The village with the largest number of RW's  was Cikadu which has 8 units, while the lowest was from Malangnengah dan Sindangkerta with 5 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Cibitung District 165 unit. The village with the highest number of RT's  was Kutakarang which had 24 units, while the lowest comes from Sindangkerta with 10 RT's;There are 14 civil servants working in the government office in Cibitung District, consisting of 14 male  and – female employees. All of those civil servants work at the Government Office of Cibitung District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Cibitung District are as follows: Senior High School is 28.6 percent, Diploma II is 7.1 percent, Bachelor's Degree is 50.0 percent, Master's Degree is 14.3 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Cibitung District are as follows: group II is 21.4 percent, group III is 64.3 percent, group IV is 14.3 percent.;6;5;7;7;6;5;8;6;6;8;;;;;;64;18;10;14;24;19;11;20;17;16;16;;;;;;165;Kecamatan Cibitung/;Desa Citeluk/;Desa Sindangkerta/;Desa Kiarajangkung/;Desa Kutakarang/;Desa Cikiruh/;Desa Malangnengah/;Desa Cikadu/;Desa Manglid/;Desa Kiarapayung/;Desa Cikalong/;;;;;;District of Cibitung;Village of Citeluk;Village of Sindangkerta;Village of Kiarajangkung;Village of Kutakarang;Village of Cikiruh;Village of Malangnengah;Village of Cikadu;Village of Manglid;Village of Kiarapayung;Village of Cikalong;;;;;;13;–;–;–;–;–;–;–;–;–;–;;;;;;13;–;–;–;–;–;–;–;–;–;–;–;;;;;;–;13;–;–;–;–;–;–;–;–;–;–;;;;;;13;–;–;4;–;1;–;–;6;2;–;13;–;–;–;–;–;–;–;–;–;–;–;–;–;4;–;1;–;–;6;2;–;13;–;2;9;2;13;–;–;–;–;–;–;2;9;2;13
40;Cikeusik;14;Desa;Village;Cikeusik;Tanjungan;Cikiruhwetan;Sukawaris;Sumurbatu;Umbulan;Sukamulya;Parungkokosan;Nanggala;Rancaseneng;Sukaseneng;Cikeusik;Leuwibalang;Curugciung;Cikadongdong;;CIKEUSIK;D:\KCDA\2025\040\Bab2.PNG;D:\KCDA\2025\040\G021.png;D:\KCDA\2025\040\G022.png;Kecamatan Cikeusik secara keseluruhan memiliki 79 RW. Desa dengan jumlah RW terbanyak adalah Sukamulya yaitu 9 unit, sementara paling sedikit berasal dari Cikadongdong, Curugciung, Leuwibalang dan Cikiruhwetan dengan 4 RW. Jumlah seluruh RT dalam Kecamatan Cikeusik adalah 318 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Tanjungan yaitu 34 unit, sementara paling sedikit berasal dari Leuwibalang dengan 10 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Cikeusik berjumlah 13 orang, terdiri dari 13 pegawai laki–laki dan – pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Cikeusik.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cikeusik adalah sebagai berikut: SMA: 15,4 persen, D–IV: 7,7 persen, Sarjana: 53,8 persen, Magister: 23,1 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cikeusik adalah sebagai berikut: golongan II: 15,4 persen, golongan III: 61,5 persen, golongan IV: 23,1 persen.;The District of Cikeusik as a whole has 79 Rukun Warga (RW). The village with the largest number of RW's  was Sukamulya which has 9 units, while the lowest was from Cikadongdong, Curugciung, Leuwibalang dan Cikiruhwetan with 4 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Cikeusik District 318 unit. The village with the highest number of RT's  was Tanjungan which had 34 units, while the lowest comes from Leuwibalang with 10 RT's;There are 13 civil servants working in the government office in Cikeusik District, consisting of 13 male  and – female employees. All of those civil servants work at the Government Office of Cikeusik District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Cikeusik District are as follows: Senior High School is 15.4 percent, Diploma IV is 7.7 percent, Bachelor's Degree is 53.8 percent, Master's Degree is 23.1 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Cikeusik District are as follows: group II is 15.4 percent, group III is 61.5 percent, group IV is 23.1 percent.;10;4;5;7;8;9;6;6;4;9;6;2;4;4;;84;34;22;21;27;25;29;21;32;17;23;26;10;12;18;;317;Kecamatan Cikeusik/;Desa Tanjungan/;Desa Cikiruhwetan/;Desa Sukawaris/;Desa Sumurbatu/;Desa Umbulan/;Desa Sukamulya/;Desa Parungkokosan/;Desa Nanggala/;Desa Rancaseneng/;Desa Sukaseneng/;Desa Cikeusik/;Desa Leuwibalang/;Desa Curugciung/;Desa Cikadongdong/;;District of Cikeusik;Village of Tanjungan;Village of Cikiruhwetan;Village of Sukawaris;Village of Sumurbatu;Village of Umbulan;Village of Sukamulya;Village of Parungkokosan;Village of Nanggala;Village of Rancaseneng;Village of Sukaseneng;Village of Cikeusik;Village of Leuwibalang;Village of Curugciung;Village of Cikadongdong;;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;;–;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;;12;–;–;2;–;–;–;1;6;3;–;12;–;–;–;–;–;–;–;–;–;–;–;–;–;2;–;–;–;1;6;3;–;12;–;2;7;3;12;–;–;–;–;–;–;2;7;3;12
50;Cigeulis;9;Desa;Village;Cigeulis;Banyuasih;Karangbolong;Karyabuana;Katumbiri;Waringinjaya;Sinarjaya;Ciseureuheun;Cigeulis;Tarumanagara;;;;;;;CIGEULIS;D:\KCDA\2025\050\Bab2.PNG;D:\KCDA\2025\050\G021.png;D:\KCDA\2025\050\G022.png;Kecamatan Cigeulis secara keseluruhan memiliki 72 RW. Desa dengan jumlah RW terbanyak adalah Ciseureuheun yaitu 11 unit, sementara paling sedikit berasal dari Tarumanagara dengan 4 RW. Jumlah seluruh RT dalam Kecamatan Cigeulis adalah 211 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Karyabuana yaitu 35 unit, sementara paling sedikit berasal dari Tarumanagara dengan 15 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Cigeulis berjumlah 12 orang, terdiri dari 11 pegawai laki–laki dan 1 pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Cigeulis.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cigeulis adalah sebagai berikut: SMA: 33,3 persen, D–III: 8,3 persen, Sarjana: 58,3 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Cigeulis adalah sebagai berikut: golongan II: 16,7 persen, golongan III: 83,3 persen.;The District of Cigeulis as a whole has 72 Rukun Warga (RW). The village with the largest number of RW's  was Ciseureuheun which has 11 units, while the lowest was from Tarumanagara with 4 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Cigeulis District 211 unit. The village with the highest number of RT's  was Karyabuana which had 35 units, while the lowest comes from Tarumanagara with 15 RT's;There are 12 civil servants working in the government office in Cigeulis District, consisting of 11 male  and only 1 female employees. All of those civil servants work at the Government Office of Cigeulis District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Cigeulis District are as follows: Senior High School is 33.3 percent, Diploma III is 8.3 percent, Bachelor's Degree is 58.3 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Cigeulis District are as follows: group II is 16.7 percent, group III is 83.3 percent.;8;8;9;5;9;8;11;10;4;;;;;;;72;28;24;33;17;32;21;23;20;15;;;;;;;213;Kecamatan Cigeulis/;Desa Banyuasih/;Desa Karangbolong/;Desa Karyabuana/;Desa Katumbiri/;Desa Waringinjaya/;Desa Sinarjaya/;Desa Ciseureuheun/;Desa Cigeulis/;Desa Tarumanagara/;;;;;;;District of Cigeulis;Village of Banyuasih;Village of Karangbolong;Village of Karyabuana;Village of Katumbiri;Village of Waringinjaya;Village of Sinarjaya;Village of Ciseureuheun;Village of Cigeulis;Village of Tarumanagara;;;;;;;8;–;–;–;–;–;–;–;–;–;;;;;;;8;1;–;–;–;–;–;–;–;–;–;;;;;;;1;9;–;–;–;–;–;–;–;–;–;;;;;;;9;–;–;2;–;–;–;–;6;–;–;8;–;–;–;–;–;–;–;1;–;–;1;–;–;2;–;–;–;–;7;–;–;9;–;–;8;–;8;–;–;1;–;1;–;–;9;–;9
60;Panimbang;6;Desa;Village;Panimbang;Mekarjaya;Gombong;Panimbangjaya;Mekarsari;Citeureup;Tanjungjaya;;;;;;;;;;PANIMBANG;D:\KCDA\2025\060\Bab2.PNG;D:\KCDA\2025\060\G021.png;D:\KCDA\2025\060\G022.png;Kecamatan Panimbang secara keseluruhan memiliki 70 RW. Desa dengan jumlah RW terbanyak adalah Panimbangjaya yaitu 15 unit, sementara paling sedikit berasal dari Gombong dengan 9 RW. Jumlah seluruh RT dalam Kecamatan Panimbang adalah 240 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Panimbangjaya yaitu 59 unit, sementara paling sedikit berasal dari Mekarjaya dengan 25 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Panimbang berjumlah 18 orang, terdiri dari 15 pegawai laki–laki dan 3 pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Panimbang.;#VALUE!;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Panimbang adalah sebagai berikut: golongan II: 16,7 persen, golongan III: 77,8 persen, golongan IV: 5,6 persen.;The District of Panimbang as a whole has 70 Rukun Warga (RW). The village with the largest number of RW's  was Panimbangjaya which has 15 units, while the lowest was from Gombong with 9 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Panimbang District 240 unit. The village with the highest number of RT's  was Panimbangjaya which had 59 units, while the lowest comes from Mekarjaya with 25 RT's;There are 18 civil servants working in the government office in Panimbang District, consisting of 15 male  and 3 female employees. All of those civil servants work at the Government Office of Panimbang District .;#VALUE!;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Panimbang District are as follows: group II is 16.7 percent, group III is 77.8 percent, group IV is 5.6 percent.;10;9;10;13;11;14;;;;;;;;;;67;25;26;57;47;43;40;;;;;;;;;;238;Kecamatan Panimbang/;Desa Mekarjaya/;Desa Gombong/;Desa Panimbangjaya/;Desa Mekarsari/;Desa Citeureup/;Desa Tanjungjaya/;;;;;;;;;;District of Panimbang;Village of Mekarjaya;Village of Gombong;Village of Panimbangjaya;Village of Mekarsari;Village of Citeureup;Village of Tanjungjaya;;;;;;;;;;14;–;–;–;–;–;–;;;;;;;;;;14;3;–;–;–;–;–;–;;;;;;;;;;3;17;–;–;–;–;–;–;;;;;;;;;;17;–;–;4;–;–;1;2;6;1;–;14;–;–;–;–;–;–;–;3;–;–;3;–;–;4;–;–;1;2;9;1;–;17;–;3;10;1;14;–;–;3;–;3;–;3;13;1;17
61;Sobang;8;Desa;Village;Sobang;Cimanis;Pangkalan;Sobang;Kutamekar;Bojen;Kertaraharja;Teluklada;Bojenwetan;;;;;;;;SOBANG;D:\KCDA\2025\061\Bab2.PNG;D:\KCDA\2025\061\G021.png;D:\KCDA\2025\061\G022.png;Kecamatan Sobang secara keseluruhan memiliki 71 RW. Desa dengan jumlah RW terbanyak adalah Kutamekar yaitu 14 unit, sementara paling sedikit berasal dari Bojenwetan dan Pangkalan dengan 6 RW. Jumlah seluruh RT dalam Kecamatan Sobang adalah 208 unit. Selanjutnya, desa dengan jumlah RT paling banyak adalah Cimanis yaitu 33 unit, sementara paling sedikit berasal dari Kertaraharja dengan 18 RT. ;PNS yang bekerja di kantor pemerintah pada Kecamatan Sobang berjumlah 13 orang, terdiri dari 10 pegawai laki–laki dan 3 pegawai perempuan.  Seluruh PNS tersebut bekerja di Kantor Pemerintah Kecamatan Sobang.;Dirinci menurut jenjang pendidikan yang ditamatkan, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Sobang adalah sebagai berikut: SMA: 15,4 persen, D–III: 7,7 persen, Sarjana: 76,9 persen.;Menurut golongan pegawai, proporsi PNS yang bekerja di kantor pemerintah kecamatan pada Kecamatan Sobang adalah sebagai berikut: golongan II: 7,7 persen, golongan III: 92,3 persen.;The District of Sobang as a whole has 71 Rukun Warga (RW). The village with the largest number of RW's  was Kutamekar which has 14 units, while the lowest was from Bojenwetan dan Pangkalan with 6 RW's. Furthermore, the total number of all Rukun Tetangga (RT) within the Sobang District 208 unit. The village with the highest number of RT's  was Cimanis which had 33 units, while the lowest comes from Kertaraharja with 18 RT's;There are 13 civil servants working in the government office in Sobang District, consisting of 10 male  and 3 female employees. All of those civil servants work at the Government Office of Sobang District .;Broken down by educational attainment, the proportion of civil servants (PNS) working in the District government office of in Sobang District are as follows: Senior High School is 15.4 percent, Diploma III is 7.7 percent, Bachelor's Degree is 76.9 percent.;According to rank/group of employees, the proportion of civil servants (PNS) working in the District government office of in Sobang District are as follows: group II is 7.7 percent, group III is 92.3 percent.;13;6;7;14;7;9;9;6;;;;;;;;71;34;29;25;29;24;18;26;21;;;;;;;;206;Kecamatan Sobang/;Desa Cimanis/;Desa Pangkalan/;Desa Sobang/;Desa Kutamekar/;Desa Bojen/;Desa Kertaraharja/;Desa Teluklada/;Desa Bojenwetan/;;;;;;;;District of Sobang;Village of Cimanis;Village of Pangkalan;Village of Sobang;Village of Kutamekar;Village of Bojen;Village of Kertaraharja;Village of Teluklada;Village of Bojenwetan;;;;;;;;9;–;–;–;–;–;–;–;–;;;;;;;;9;3;–;–;–;–;–;–;–;–;;;;;;;;3;12;–;–;–;–;–;–;–;–;;;;;;;;12;–;–;1;–;–;1;–;7;–;–;9;–;–;–;–;–;–;–;2;1;–;3;–;–;1;–;–;1;–;9;1;–;12;–;1;8;–;9;–;–;3;–;3;–;1;11;–;12
