KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KECAMATAN;@Sekat;@Grafik1;@Grafik2;U301_id;U302_id;U303_id;U304_id;U305_id;U301_en;U302_en;U303_en;U304_en;U305_en;T311K2B1;T311K2B2;T311K2B3;T311K2B4;T311K2B5;T311K2B6;T311K2B7;T311K2B8;T311K2B9;T311K2B10;T311K2B11;T311K2B12;T311K2B13;T311K2B14;T311K2B15;T311K2B16;T311K3B1;T311K3B2;T311K3B3;T311K3B4;T311K3B5;T311K3B6;T311K3B7;T311K3B8;T311K3B9;T311K3B10;T311K3B11;T311K3B12;T311K3B13;T311K3B14;T311K3B15;T311K3B16;T311K4B1;T311K4B2;T311K4B3;T311K4B4;T311K4B5;T311K4B6;T311K4B7;T311K4B8;T311K4B9;T311K4B10;T311K4B11;T311K4B12;T311K4B13;T311K4B14;T311K4B15;T311K4B16;T311K5B1;T311K5B2;T311K5B3;T311K5B4;T311K5B5;T311K5B6;T311K5B7;T311K5B8;T311K5B9;T311K5B10;T311K5B11;T311K5B12;T311K5B13;T311K5B14;T311K5B15;T311K5B16;T311K6B1;T311K6B2;T311K6B3;T311K6B4;T311K6B5;T311K6B6;T311K6B7;T311K6B8;T311K6B9;T311K6B10;T311K6B11;T311K6B12;T311K6B13;T311K6B14;T311K6B15;T311K6B16;T311K7B1;T311K7B2;T311K7B3;T311K7B4;T311K7B5;T311K7B6;T311K7B7;T311K7B8;T311K7B9;T311K7B10;T311K7B11;T311K7B12;T311K7B13;T311K7B14;T311K7B15;T311K7B16;T32K2B1;T32K2B2;T32K2B3;T32K2B4;T32K2B5;T32K2B6;T32K2B7;T32K2B8;T32K2B9;T32K2B10;T32K2B11;T32K2B12;T32K2B13;T32K2B14;T32K2B15;T32K2B16;T32K2B17;T32K3B1;T32K3B2;T32K3B3;T32K3B4;T32K3B5;T32K3B6;T32K3B7;T32K3B8;T32K3B9;T32K3B10;T32K3B11;T32K3B12;T32K3B13;T32K3B14;T32K3B15;T32K3B16;T32K3B17;T32K4B1;T32K4B2;T32K4B3;T32K4B4;T32K4B5;T32K4B6;T32K4B7;T32K4B8;T32K4B9;T32K4B10;T32K4B11;T32K4B12;T32K4B13;T32K4B14;T32K4B15;T32K4B16;T32K4B17;T32K5B1;T32K5B2;T32K5B3;T32K5B4;T32K5B5;T32K5B6;T32K5B7;T32K5B8;T32K5B9;T32K5B10;T32K5B11;T32K5B12;T32K5B13;T32K5B14;T32K5B15;T32K5B16;T32K5B17;T32K6B1;T32K6B2;T32K6B3;T32K6B4;T32K6B5;T32K6B6;T32K6B7;T32K6B8;T32K6B9;T32K6B10;T32K6B11;T32K6B12;T32K6B13;T32K6B14;T32K6B15;T32K6B16;T32K6B17
10;Sumur;7;Desa;Village;Ujungjaya;Tamanjaya;Cigorondong;Tunggaljaya;Kertamukti;Kertajaya;Sumberjaya;;;;;;;;;SUMUR;D:\KCDA\2025\010\Bab3.PNG;D:\KCDA\2025\010\G031.png;D:\KCDA\2025\010\G032.png;Penduduk Kecamatan Sumur berjumlah 28.265 jiwa, dengan kepadatan penduduk 44 jiwa per km². Besarnya rasio jenis kelamin adalah 103, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 97 orang perempuan.;Desa yang memiliki populasi terbesar adalah Kertajaya, dengan penduduk mencapai 5.026 jiwa, atau 17,78 persen dari total penduduk Kecamatan Sumur. Lebih lanjut, daerah terpadat berasal dari Sumberjaya, dengan tingkat kepadatan penduduk 1.580 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Kertamukti, yaitu sebesar 106, sebaliknya terendah berasal dari Tunggaljaya, dengan besaran hanya 98.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 10 - 14 tahun, yaitu 9,93 persen, adapun terendah dengan proporsi hanya 1,63 persen terjadi pada kelompok umur 70 - 74 tahun. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 113 terjadi pada kelompok umur 70 - 74 tahun, sebaliknya terendah berasal dari kelompok umur 75 tahun ke atas, dengan rasio sebesar 81;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Sumur, yaitu sebesar 47,8 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 478 penduduk dengan kategori tidak produktif;The population of Sumur District is 28,265 people, with a population density of 44 people per km². The sex ratio is 103, which means that for every 100 male population, there are 97 females.;The village with the largest population is Kertajaya, with 5,026 people, or 17.78 percent of the total population of Sumur District. Furthermore, the most populous area is Sumberjaya, with a population density of 1,580 people per km². ;Hereafter, the highest sex ratio was Kertamukti, which is 106, while the lowest came from Tunggaljaya, with a magnitude of just 98.;Based on age groups, the highest percentage of the population comes from the age group 10 - 14 years, which is 9.93 percent. The lowest proportion, with only 1.63 percent, is found in the age group 70 - 74 years. Continuing with age groups, the highest gender ratio, reaching 113, occurs within the 70 - 74 years age group. Conversely, the lowest ratio originates from the 75 years and older age group, with a ratio of 81;An important population indicator that also needs to be mentioned is the dependency ratio for Sumur District, which is 47.8 percent. This tells us that every 1,000 people in the productive age group have to support 478 people in the unproductive category.;2.505;1.781;1.409;1.844;2.006;2.671;2.564;;;;;;;;;14.780;2.416;1.713;1.393;1.875;1.905;2.530;2.491;;;;;;;;;14.323;4.921;3.494;2.802;3.719;3.911;5.201;5.055;;;;;;;;;29.103;16,91;12,01;9,63;12,78;13,44;17,87;17,37;;;;;;;;;100;8;768;541;627;494;830;1.615;;;;;;;;;46;103,7;104;101,1;98,3;105,3;105,6;102,9;;;;;;;;;103,2;1.039;1.374;1.461;1.040;1.266;1.294;1.184;1.093;1.036;984;839;725;520;400;244;281;14.780;1.027;1.315;1.335;1.073;1.236;1.169;1.041;1.101;1.143;924;776;736;496;392;204;355;14.323;2.066;2.689;2.796;2.113;2.502;2.463;2.225;2.194;2.179;1.908;1.615;1.461;1.016;792;448;636;29.103;7,1;9,24;9,61;7,26;8,6;8,46;7,65;7,54;7,49;6,56;5,55;5,02;3,49;2,72;1,54;2,19;100;101,2;104,5;109,4;96,9;102,4;110,7;113,7;99,3;90,6;106,5;108,1;98,5;104,8;102;119,6;79,2;103,2
20;Cimanggu;12;Desa;Village;Rancapinang;Cibadak;Batuhideung;Tugu;Kramatjaya;Mangkualam;Padasuka;Ciburial;Waringinkurung;Cijaralang;Cimanggu;Tangkilsari;;;;CIMANGGU;D:\KCDA\2025\020\Bab3.PNG;D:\KCDA\2025\020\G031.png;D:\KCDA\2025\020\G032.png;Penduduk Kecamatan Cimanggu berjumlah 43.893 jiwa, dengan kepadatan penduduk 231 jiwa per km². Besarnya rasio jenis kelamin adalah 104, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 96 orang perempuan.;Desa yang memiliki populasi terbesar adalah Ciburial, dengan penduduk mencapai 6.419 jiwa, atau 14,62 persen dari total penduduk Kecamatan Cimanggu. Lebih lanjut, daerah terpadat berasal dari Ciburial, dengan tingkat kepadatan penduduk 529 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Cijaralang, yaitu sebesar 108, sebaliknya terendah berasal dari Padasuka, dengan besaran hanya 99.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 5 - 9 tahun, yaitu 9,26 persen, adapun terendah dengan proporsi hanya 1,80 persen terjadi pada kelompok umur 75 tahun ke atas. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 128 terjadi pada kelompok umur 75 tahun ke atas, sebaliknya terendah berasal dari kelompok umur 60 - 64 tahun, dengan rasio sebesar 94;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Cimanggu, yaitu sebesar 45,0 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 450 penduduk dengan kategori tidak produktif;The population of Cimanggu District is 43,893 people, with a population density of 231 people per km². The sex ratio is 104, which means that for every 100 male population, there are 96 females.;The village with the largest population is Ciburial, with 6,419 people, or 14.62 percent of the total population of Cimanggu District. Furthermore, the most populous area is Ciburial, with a population density of 529 people per km². ;Hereafter, the highest sex ratio was Cijaralang, which is 108, while the lowest came from Padasuka, with a magnitude of just 99.;Based on age groups, the highest percentage of the population comes from the age group 5 - 9 years, which is 9.26 percent. The lowest proportion, with only 1.80 percent, is found in the age group 75 years and older. Continuing with age groups, the highest gender ratio, reaching 128, occurs within the 75 years and older age group. Conversely, the lowest ratio originates from the 60 - 64 years age group, with a ratio of 94;An important population indicator that also needs to be mentioned is the dependency ratio for Cimanggu District, which is 45.0 percent. This tells us that every 1,000 people in the productive age group have to support 450 people in the unproductive category.;2.313;1.663;2.076;940;1.810;1.384;2.191;3.365;1.703;1.870;1.604;2.118;;;;23.037;2.196;1.611;1.918;922;1.698;1.355;2.196;3.301;1.712;1.711;1.581;1.985;;;;22.186;4.509;3.274;3.994;1.862;3.508;2.739;4.387;6.666;3.415;3.581;3.185;4.103;;;;45.223;9,97;7,24;8,83;4,12;7,76;6,06;9,7;14,74;7,55;7,92;7,04;9,07;;;;100;291;216;236;122;193;211;285;550;273;99;261;513;;;;238;105,3;103,2;108,2;102;106,6;102,1;99,8;101,9;99,5;109,3;101,5;106,7;;;;103,8;1.568;2.052;2.011;1.440;1.730;1.842;1.818;1.664;1.811;1.765;1.470;1.207;930;718;474;537;23.037;1.357;2.052;1.935;1.535;1.627;1.673;1.753;1.671;1.919;1.717;1.354;1.073;1.002;650;427;441;22.186;2.925;4.104;3.946;2.975;3.357;3.515;3.571;3.335;3.730;3.482;2.824;2.280;1.932;1.368;901;978;45.223;6,47;9,08;8,73;6,58;7,42;7,77;7,9;7,37;8,25;7,7;6,24;5,04;4,27;3,03;1,99;2,16;100;115,5;100;103,9;93,8;106,3;110,1;103,7;99,6;94,4;102,8;108,6;112,5;92,8;110,5;111;121,8;103,8
30;Cibaliung;9;Desa;Village;Sukajadi;Sudimanik;Sorongan;Curug;Cihanjuang;Cibingbin;Cibaliung;Mendung;Mahendra;;;;;;;CIBALIUNG;D:\KCDA\2025\030\Bab3.PNG;D:\KCDA\2025\030\G031.png;D:\KCDA\2025\030\G032.png;Penduduk Kecamatan Cibaliung berjumlah 34.381 jiwa, dengan kepadatan penduduk 168 jiwa per km². Besarnya rasio jenis kelamin adalah 107, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 93 orang perempuan.;Desa yang memiliki populasi terbesar adalah Sukajadi, dengan penduduk mencapai 8.032 jiwa, atau 23,36 persen dari total penduduk Kecamatan Cibaliung. Lebih lanjut, daerah terpadat berasal dari Sukajadi, dengan tingkat kepadatan penduduk 386 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Sorongan, yaitu sebesar 116, sebaliknya terendah berasal dari Mendung, dengan besaran hanya 100.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 5 - 9 tahun, yaitu 10,48 persen, adapun terendah dengan proporsi hanya 1,41 persen terjadi pada kelompok umur 70 - 74 tahun. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 131 terjadi pada kelompok umur 70 - 74 tahun, sebaliknya terendah berasal dari kelompok umur 55 - 59 tahun, dengan rasio sebesar 97;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Cibaliung, yaitu sebesar 48,7 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 487 penduduk dengan kategori tidak produktif;The population of Cibaliung District is 34,381 people, with a population density of 168 people per km². The sex ratio is 107, which means that for every 100 male population, there are 93 females.;The village with the largest population is Sukajadi, with 8,032 people, or 23.36 percent of the total population of Cibaliung District. Furthermore, the most populous area is Sukajadi, with a population density of 386 people per km². ;Hereafter, the highest sex ratio was Sorongan, which is 116, while the lowest came from Mendung, with a magnitude of just 100.;Based on age groups, the highest percentage of the population comes from the age group 5 - 9 years, which is 10.48 percent. The lowest proportion, with only 1.41 percent, is found in the age group 70 - 74 years. Continuing with age groups, the highest gender ratio, reaching 131, occurs within the 70 - 74 years age group. Conversely, the lowest ratio originates from the 55 - 59 years age group, with a ratio of 97;An important population indicator that also needs to be mentioned is the dependency ratio for Cibaliung District, which is 48.7 percent. This tells us that every 1,000 people in the productive age group have to support 487 people in the unproductive category.;4.277;1.393;1.543;1.049;2.215;1.881;2.535;1.918;1.834;;;;;;;18.645;4.116;1.257;1.330;932;2.036;1.709;2.403;1.906;1.731;;;;;;;17.420;8.393;2.650;2.873;1.981;4.251;3.590;4.938;3.824;3.565;;;;;;;36.065;23,27;7,35;7,97;5,49;11,79;9,95;13,69;10,6;9,88;;;;;;;100;403;210;130;115;135;107;182;173;197;;;;;;;176;103,9;110,8;116;112,6;108,8;110,1;105,5;100,6;106;;;;;;;107;1.498;1.898;1.770;1.300;1.507;1.795;1.490;1.379;1.255;1.122;974;863;670;493;282;349;18.645;1.302;1.809;1.691;1.267;1.458;1.545;1.339;1.390;1.322;1.054;915;832;578;399;222;297;17420;2.800;3.707;3.461;2.567;2.965;3.340;2.829;2.769;2.577;2.176;1.889;1.695;1.248;892;504;646;36.065;7,76;10,28;9,6;7,12;8,22;9,26;7,84;7,68;7,15;6,03;5,24;4,7;3,46;2,47;1,4;1,79;100;115,1;104,9;104,7;102,6;103,4;116,2;111,3;99,2;94,9;106,5;106,4;103,7;115,9;123,6;127;117,5;107
31;Cibitung;10;Desa;Village;Citeluk;Sindangkerta;Kiarajangkung;Kutakarang;Cikiruh;Malangnengah;Cikadu;Manglid;Kiarapayung;Cikalong;;;;;;CIBITUNG;D:\KCDA\2025\031\Bab3.PNG;D:\KCDA\2025\031\G031.png;D:\KCDA\2025\031\G032.png;Penduduk Kecamatan Cibitung berjumlah 24.834 jiwa, dengan kepadatan penduduk 138 jiwa per km². Besarnya rasio jenis kelamin adalah 106, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 94 orang perempuan.;Desa yang memiliki populasi terbesar adalah Cikadu, dengan penduduk mencapai 4.030 jiwa, atau 16,23 persen dari total penduduk Kecamatan Cibitung. Lebih lanjut, daerah terpadat berasal dari Cikadu, dengan tingkat kepadatan penduduk 306 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Malangnengah, yaitu sebesar 115, sebaliknya terendah berasal dari Kiarapayung, dengan besaran hanya 98.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 5 - 9 tahun, yaitu 9,71 persen, adapun terendah dengan proporsi hanya 1,81 persen terjadi pada kelompok umur 70 - 74 tahun. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 122 terjadi pada kelompok umur 60 - 64 tahun, sebaliknya terendah berasal dari kelompok umur 45 - 49 tahun, dengan rasio sebesar 99;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Cibitung, yaitu sebesar 48,4 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 484 penduduk dengan kategori tidak produktif;The population of Cibitung District is 24,834 people, with a population density of 138 people per km². The sex ratio is 106, which means that for every 100 male population, there are 94 females.;The village with the largest population is Cikadu, with 4,030 people, or 16.23 percent of the total population of Cibitung District. Furthermore, the most populous area is Cikadu, with a population density of 306 people per km². ;Hereafter, the highest sex ratio was Malangnengah, which is 115, while the lowest came from Kiarapayung, with a magnitude of just 98.;Based on age groups, the highest percentage of the population comes from the age group 5 - 9 years, which is 9.71 percent. The lowest proportion, with only 1.81 percent, is found in the age group 70 - 74 years. Continuing with age groups, the highest gender ratio, reaching 122, occurs within the 60 - 64 years age group. Conversely, the lowest ratio originates from the 45 - 49 years age group, with a ratio of 99;An important population indicator that also needs to be mentioned is the dependency ratio for Cibitung District, which is 48.4 percent. This tells us that every 1,000 people in the productive age group have to support 484 people in the unproductive category.;1.165;791;910;1.692;1.273;1.098;2.161;1.886;1.239;1028;;;;;;13.243;1.105;762;912;1.551;1.126;935;1.980;1.772;1.222;991;;;;;;12.356;2.270;1.553;1.822;3.243;2.399;2.033;4.141;3.658;2.461;2.019;;;;;;25.599;8,87;6,07;7,12;12,67;9,37;7,94;16,18;14,29;9,61;7,89;;;;;;100;109;78;145;150;86;148;314;194;155;126;;;;;;142;105,4;103,8;99,8;109,1;113,1;117,4;109,1;106,4;101,4;103,7;;;;;;107,2;896;1.274;1.208;879;1.112;1.209;1.032;1.040;924;838;667;606;572;402;253;331;13.243;895;1.180;1150;852;1025;1014;935;986;892;817;678;582;489;371;206;284;12356;1.791;2.454;2.358;1.731;2.137;2.223;1.967;2.026;1.816;1.655;1.345;1.188;1.061;773;459;615;25.599;7;9,59;9,21;6,76;8,35;8,68;7,68;7,91;7,09;6,47;5,25;4,64;4,14;3,02;1,79;2,4;100;100,1;108;105;103,2;108,5;119,2;110,4;105,5;103,6;102,6;98,4;104,1;117;108,4;122,8;116,5;107,2
40;Cikeusik;14;Desa;Village;Tanjungan;Cikiruhwetan;Sukawaris;Sumurbatu;Umbulan;Sukamulya;Parungkokosan;Nanggala;Rancaseneng;Sukaseneng;Cikeusik;Leuwibalang;Curugciung;Cikadongdong;;CIKEUSIK;D:\KCDA\2025\040\Bab3.PNG;D:\KCDA\2025\040\G031.png;D:\KCDA\2025\040\G032.png;Penduduk Kecamatan Cikeusik berjumlah 61.462 jiwa, dengan kepadatan penduduk 190 jiwa per km². Besarnya rasio jenis kelamin adalah 105, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 95 orang perempuan.;Desa yang memiliki populasi terbesar adalah Cikiruhwetan, dengan penduduk mencapai 7.849 jiwa, atau 12,77 persen dari total penduduk Kecamatan Cikeusik. Lebih lanjut, daerah terpadat berasal dari Cikiruhwetan, dengan tingkat kepadatan penduduk 785 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Leuwibalang, yaitu sebesar 119, sebaliknya terendah berasal dari Rancaseneng, dengan besaran hanya 100.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 10 - 14 tahun, yaitu 9,70 persen, adapun terendah dengan proporsi hanya 1,64 persen terjadi pada kelompok umur 70 - 74 tahun. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 119 terjadi pada kelompok umur 65 - 69 tahun, sebaliknya terendah berasal dari kelompok umur 45 - 49 tahun, dengan rasio sebesar 95;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Cikeusik, yaitu sebesar 46,9 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 469 penduduk dengan kategori tidak produktif;The population of Cikeusik District is 61,462 people, with a population density of 190 people per km². The sex ratio is 105, which means that for every 100 male population, there are 95 females.;The village with the largest population is Cikiruhwetan, with 7,849 people, or 12.77 percent of the total population of Cikeusik District. Furthermore, the most populous area is Cikiruhwetan, with a population density of 785 people per km². ;Hereafter, the highest sex ratio was Leuwibalang, which is 119, while the lowest came from Rancaseneng, with a magnitude of just 100.;Based on age groups, the highest percentage of the population comes from the age group 10 - 14 years, which is 9.70 percent. The lowest proportion, with only 1.64 percent, is found in the age group 70 - 74 years. Continuing with age groups, the highest gender ratio, reaching 119, occurs within the 65 - 69 years age group. Conversely, the lowest ratio originates from the 45 - 49 years age group, with a ratio of 95;An important population indicator that also needs to be mentioned is the dependency ratio for Cikeusik District, which is 46.9 percent. This tells us that every 1,000 people in the productive age group have to support 469 people in the unproductive category.;3.851;4.134;2.156;2.753;2.126;1.964;1.479;2.983;1.618;2.090;3.020;903;1.658;1.642;;32.377;3.620;3.967;2.073;2.655;2.105;1.902;1.398;2.854;1.654;1.979;2.996;753;1.471;1.487;;30.914;7.471;8.101;4.229;5.408;4.231;3.866;2.877;5.837;3.272;4.069;6.016;1.656;3.129;3.129;;63.291;11,8;12,8;6,68;8,54;6,68;6,11;4,55;9,22;5,17;6,43;9,51;2,62;4,94;4,94;;100;166;810;423;541;423;172;105;243;687;170;201;47;89;89;;196;106,4;104,2;104;103,7;101;103,3;105,8;104,5;97,8;105,6;100,8;119,9;112,7;110,4;;104,7;2.175;3.072;3.049;2.330;2.607;2.710;2.535;2.385;2.420;2.226;1.934;1.500;1.294;879;551;710;32.377;2.098;2.905;2.862;2.242;2.466;2.476;2.285;2.308;2.538;2.414;1.802;1.497;1.139;781;472;629;30.914;4.273;5.977;5.911;4.572;5.073;5.186;4.820;4.693;4.958;4.640;3.736;2.997;2.433;1.660;1.023;1.339;63.291;6,75;9,44;9,34;7,22;8,02;8,19;7,62;7,41;7,83;7,33;5,9;4,74;3,84;2,62;1,62;2,12;100;103,7;105,7;106,5;103,9;105,7;109,5;110,9;103,3;95,4;92,2;107,3;100,2;113,6;112,5;116,7;112,9;104,7
50;Cigeulis;9;Desa;Village;Banyuasih;Karangbolong;Karyabuana;Katumbiri;Waringinjaya;Sinarjaya;Ciseureuheun;Cigeulis;Tarumanagara;;;;;;;CIGEULIS;D:\KCDA\2025\050\Bab3.PNG;D:\KCDA\2025\050\G031.png;D:\KCDA\2025\050\G032.png;Penduduk Kecamatan Cigeulis berjumlah 41.798 jiwa, dengan kepadatan penduduk 243 jiwa per km². Besarnya rasio jenis kelamin adalah 108, dengan demikian, dapat diketahui untuk setiap 100 populasi laki-laki terdapat dari 93 orang perempuan.;Desa yang memiliki populasi terbesar adalah Waringinjaya, dengan penduduk mencapai 6.408 jiwa, atau 15,33 persen dari total penduduk Kecamatan Cigeulis. Lebih lanjut, daerah terpadat berasal dari Karyabuana, dengan tingkat kepadatan penduduk 470 jiwa per km². ;Selanjutnya, rasio jenis kelamin tertinggi adalah Ciseureuheun, yaitu sebesar 112, sebaliknya terendah berasal dari Katumbiri, dengan besaran hanya 101.;Berdasarkan kelompok umur, persentase penduduk tertinggi berasal dari kelompok umur 5 - 9 tahun, yaitu 9,93 persen, adapun terendah dengan proporsi hanya 1,72 persen terjadi pada kelompok umur 70 - 74 tahun. Masih menurut kelompok umur, rasio jenis kelamin tertinggi, yaitu mencapai 125 terjadi pada kelompok umur 65 - 69 tahun, sebaliknya terendah berasal dari kelompok umur 40 - 44 tahun, dengan rasio sebesar 96;Indikator kependudukan penting yang juga perlu disampaikan adalah rasio ketergantungan untuk Kecamatan Cigeulis, yaitu sebesar 48,7 persen. Besaran ini menginformasikan bahwa setiap 1.000 penduduk kelompok umur produktif harus menanggung 487 penduduk dengan kategori tidak produktif;The population of Cigeulis District is 41,798 people, with a population density of 243 people per km². The sex ratio is 108, which means that for every 100 male population, there are 93 females.;The village with the largest population is Waringinjaya, with 6,408 people, or 15.33 percent of the total population of Cigeulis District. Furthermore, the most populous area is Karyabuana, with a population density of 470 people per km². ;Hereafter, the highest sex ratio was Ciseureuheun, which is 112, while the lowest came from Katumbiri, with a magnitude of just 101.;Based on age groups, the highest percentage of the population comes from the age group 5 - 9 years, which is 9.93 percent. The lowest proportion, with only 1.72 percent, is found in the age group 70 - 74 years. Continuing with age groups, the highest gender ratio, reaching 125, occurs within the 65 - 69 years age group. Conversely, the lowest ratio originates from the 40 - 44 years age group, with a ratio of 96;An important population indicator that also needs to be mentioned is the dependency ratio for Cigeulis District, which is 48.7 percent. This tells us that every 1,000 people in the productive age group have to support 487 people in the unproductive category.;2.607;2.373;3.123;1.714;3.486;2.160;2.736;2.028;2.103;;;;;;;22.330;2.408;2.214;2.988;1.723;3.190;1.990;2.436;1.883;2.019;;;;;;;20.851;5.015;4.587;6.111;3.437;6.676;4.150;5.172;3.911;4.122;;;;;;;43.181;11,61;10,62;14,15;7,96;15,46;9,61;11,98;9,06;9,55;;;;;;;100;195;131;485;275;248;344;256;294;296;;;;;;;251;108,3;107,2;104,5;99,5;109,3;108,5;112,3;107,7;104,2;;;;;;;107,1;1.526;2.222;2.096;1.584;1.749;1.911;1.771;1.646;1.663;1.417;1.255;1.115;823;666;370;516;22.330;1.451;2.039;1.963;1.518;1.685;1.659;1.550;1.535;1.678;1.417;1.262;949;766;560;342;477;20.851;2.977;4.261;4.059;3.102;3.434;3.570;3.321;3.181;3.341;2.834;2.517;2.064;1.589;1.226;712;993;43.181;6,89;9,87;9,4;7,18;7,95;8,27;7,69;7,37;7,74;6,56;5,83;4,78;3,68;2,84;1,65;2,3;100;105,2;109;106,8;104,3;103,8;115,2;114,3;107,2;99,1;100;99,4;117,5;107,4;118,9;108,2;108,2;107,1
